axis,bin,N_center,inclusive_c2,inclusive_c2_err,low_mult_scaled_c2,low_mult_scaled_c2_err,fit_1overN_intercept,fit_1overN_intercept_err,fit_1overN_slope,fit_1overN_residual_c2
beam,0_10,5,0.6691211062,0.00107579881,0,0.001521409267,0.4550487661,0.0005725511094,1.484329162,0.3722552739
beam,10_15,12.5,0.62062726,0.0004089577707,0.3529788175,0.0005936508662,0.4550487661,0.0005725511094,1.484329162,0.5018809271
beam,15_20,17.5,0.5453688211,0.0003968663864,0.3541913622,0.0005019760101,0.4550487661,0.0005725511094,1.484329162,0.4605500119
beam,20_25,22.5,0.4568019144,0.0006118705324,0.3081083352,0.0006569157428,0.4550487661,0.0005725511094,1.484329162,0.3908317294
beam,25_30,27.5,0.3727275468,0.00169678303,0.2510691639,0.001708019885,0.4550487661,0.0005725511094,1.484329162,0.3187519409
beam,30_35,32.5,0.2968980577,0.003024352902,0.1939563491,0.00302887821,0.4550487661,0.0005725511094,1.484329162,0.2512263912
beam,35_40,37.5,0.2427654191,0.01127905961,0.1535492716,0.01127997166,0.4550487661,0.0005725511094,1.484329162,0.2031833081
beam,40_999,42.5,0.2294175522,0.03057663023,0.1506974221,0.03057689217,0.4550487661,0.0005725511094,1.484329162,0.1944921602
thrust,0_10,5,0.1167438938,0.001324491045,-1.387778781e-17,0.001873113199,0.1883854376,0.000594499385,-0.4380074935,0.2043453925
thrust,10_15,12.5,0.1367121188,0.0006525794907,0.09001456128,0.0008405618575,0.1883854376,0.000594499385,-0.4380074935,0.1717527183
thrust,15_20,17.5,0.1630852012,0.0004639623566,0.129729803,0.0005987214006,0.1883854376,0.000594499385,-0.4380074935,0.1881142008
thrust,20_25,22.5,0.1756990864,0.000483460363,0.1497559989,0.0005660078288,0.1883854376,0.000594499385,-0.4380074935,0.1951660861
thrust,25_30,27.5,0.176155621,0.001041790191,0.1549294585,0.001069261154,0.1883854376,0.000594499385,-0.4380074935,0.1920831662
thrust,30_35,32.5,0.1662275786,0.002863981658,0.1482669796,0.002871221391,0.1883854376,0.000594499385,-0.4380074935,0.1797047322
thrust,35_40,37.5,0.1621059567,0.01094358486,0.1465401042,0.01094500967,0.1883854376,0.000594499385,-0.4380074935,0.1737861565
thrust,40_999,42.5,0.09764905579,0.06713179046,0.08391448005,0.0671319713,0.1883854376,0.000594499385,-0.4380074935,0.1079551145
