axis,multiplicity_bin,quantity,data,data_err,mc,mc_err,data_over_mc,data_over_mc_err
beam,0_10,hV2_2,0.7410615477,0.0004678260468,0.7415762995,0.000377180915,0.999305868,0.0008101308668
beam,10_15,hV2_2,0.7312054246,0.0002127831822,0.7333178212,0.0001664717248,0.9971193983,0.0003680130161
beam,15_20,hV2_2,0.6895373838,0.0001655682187,0.6916964388,0.0001779288312,0.996878609,0.0003507897338
beam,20_25,hV2_2,0.6294613139,0.0003042173007,0.632262669,0.0002741706126,0.9955693176,0.0006464421706
beam,25_30,hV2_2,0.5660235691,0.0006540450604,0.5699033883,0.0007026430882,0.9931921457,0.001678254396
beam,30_35,hV2_2,0.5032988072,0.00135764296,0.5130082012,0.001565843676,0.9810736086,0.003996336584
beam,35_40,hV2_2,0.4615421285,0.004757063984,0.4504790335,0.004964030611,1.024558513,0.01545896288
beam,40_999,hV2_2,0.4268563357,0.03156062572,0.4268642896,0.02065810808,0.9999813666,0.08836582477
beam,0_10,hV2_4,0.7165859343,0.000502542836,0.7168977594,0.0004343312122,0.9995650354,0.0009263524799
beam,10_15,hV2_4,0.7093239159,0.0002497878553,0.7116142409,0.0002360719533,0.9967815077,0.0004822418908
beam,15_20,hV2_4,0.6595833017,0.0001916377646,0.6618150815,0.0002253015378,0.9966277896,0.0004460486073
beam,20_25,hV2_4,0.5850639819,0.0004304170989,0.5878195923,0.0003357945379,0.9953121495,0.0009270571068
beam,25_30,hV2_4,0.5056927867,0.0008504850561,0.5094952904,0.0009873211156,0.9925367244,0.002546732724
beam,30_35,hV2_4,0.4275797492,0.002551976926,0.441090274,0.002505076418,0.9693701593,0.007986358879
beam,35_40,hV2_4,0.3675265574,0.008112438497,0.3612531381,0.00883451185,1.017365716,0.03351562027
beam,40_999,hV2_4,0.3304520573,0.04298173184,0.3292602412,0.0395641542,1.003619678,0.1777191313
beam,0_10,hV2_6,0.7137592525,0.0005082561473,0.7140930211,0.0004473322774,0.9995325978,0.0009479672846
beam,10_15,hV2_6,0.707122194,0.0002617184911,0.7094909814,0.0002428035041,0.9966612861,0.0005024034417
beam,15_20,hV2_6,0.6564069635,0.0001975390164,0.6586729672,0.0002349452846,0.9965597438,0.0004650807172
beam,20_25,hV2_6,0.5800146313,0.0004513649564,0.582781199,0.0003425705733,0.9952528192,0.0009706247869
beam,25_30,hV2_6,0.4981946238,0.0008752722452,0.5020159276,0.001080048798,0.9923880825,0.002756495871
beam,30_35,hV2_6,0.4165465151,0.003033826264,0.4316243726,0.002782505302,0.9650671775,0.009386722613
beam,35_40,hV2_6,0.3486985048,0.009942644489,0.3473078572,0.01041578724,1.004004078,0.04154719888
beam,40_999,hV2_6,0.300031624,0.07772128213,0.2915142659,0.08461407096,1.029217637,0.4004076733
beam,0_10,hV2_8,0.7132452617,0.0005107575684,0.7136049469,0.000450988971,0.9994959603,0.0009546164585
beam,10_15,hV2_8,0.706757372,0.0002640656152,0.7091386672,0.0002435936595,0.9966419893,0.0005058347047
beam,15_20,hV2_8,0.655870143,0.0001990316768,0.6581440509,0.0002366555718,0.9965449693,0.0004688922723
beam,20_25,hV2_8,0.5791233602,0.0004566535316,0.5818935119,0.0003436764998,0.9952394181,0.000980501014
beam,25_30,hV2_8,0.496732872,0.0008799579165,0.5005728486,0.001104632418,0.9923288357,0.00280810957
beam,30_35,hV2_8,0.4140518389,0.003196842673,0.4296167559,0.00286918903,0.9637702284,0.009838676992
beam,35_40,hV2_8,0.3428329879,0.01120617136,0.3442020348,0.01121895275,0.9960225484,0.04597712573
beam,40_999,hV2_8,0,0,0,0,0,0
