axis,multiplicity_bin,quantity,data,data_err,mc,mc_err,data_over_mc,data_over_mc_err
beam,0_10,hV2_2,0.704757444,0.0001694007875,0.7068178775,9.433240085e-05,0.9970849159,0.0002741317971
beam,10_15,hV2_2,0.610419832,0.000175052117,0.6136052833,0.0002257181279,0.9948086312,0.0004640082869
beam,15_20,hV2_2,0.4969186735,0.001420985699,0.5041270683,0.001081330361,0.9857012343,0.003523535784
beam,20_25,hV2_2,0.4081685272,0.007938977505,0.4073337785,0.008801816726,1.002049299,0.02913247727
beam,25_30,hV2_2,0.3984861123,0.1632545185,0.3761937407,0.1144489407,1.059257689,0.5405312449
beam,30_35,hV2_2,0,0,0,0,0,0
beam,35_40,hV2_2,0,0,0,0,0,0
beam,40_999,hV2_2,0,0,0,0,0,0
beam,0_10,hV2_4,0.692092122,0.0001782742169,0.6941345682,0.0001018118539,0.9970575645,0.0002955475874
beam,10_15,hV2_4,0.5755528808,0.0002319032088,0.5787548661,0.0002706296833,0.9944674585,0.000613839113
beam,15_20,hV2_4,0.4294127721,0.002231876356,0.4389057919,0.0014969353,0.9783711677,0.006082159273
beam,20_25,hV2_4,0.3191377384,0.02408260598,0.309657112,0.02230744808,1.030616531,0.1075209191
beam,25_30,hV2_4,0.4155310895,0.1412257301,0.3848722623,0.07986115129,1.079659747,0.4299251918
beam,30_35,hV2_4,0,0,0,0,0,0
beam,35_40,hV2_4,0,0,0,0,0,0
beam,40_999,hV2_4,0,0,0,0,0,0
beam,0_10,hV2_6,0.6909247087,0.0001768576651,0.6929978804,0.0001082974387,0.997008401,0.0002990084359
beam,10_15,hV2_6,0.5702507317,0.0002453799032,0.5735248491,0.0002893205359,0.994291237,0.0006592682114
beam,15_20,hV2_6,0.4191707915,0.002452064386,0.4295287169,0.001663186509,0.9758853716,0.006846059772
beam,20_25,hV2_6,0.3017206718,0.038895115,0.2627943072,0.05570625839,1.14812484,0.284846394
beam,25_30,hV2_6,0.4128870705,0.1416158325,0.3805409132,0.07711049377,1.085000472,0.4322363778
beam,30_35,hV2_6,0,0,0,0,0,0
beam,35_40,hV2_6,0,0,0,0,0,0
beam,40_999,hV2_6,0,0,0,0,0,0
beam,0_10,hV2_8,0.6907137598,0.0001781150388,0.692787362,0.0001088152124,0.9970068706,0.0003010366832
beam,10_15,hV2_8,0.5693042528,0.0002475556584,0.572594705,0.0002895175617,0.994253436,0.0006630562948
beam,15_20,hV2_8,0.4170498534,0.002535915827,0.4278723907,0.001762409318,0.9747061565,0.007158616978
beam,20_25,hV2_8,0.3050235871,0.04135781141,0,0,0,0
beam,25_30,hV2_8,0.4129907345,0.1416587474,0.3809928897,0.07682467553,1.083985412,0.4313034689
beam,30_35,hV2_8,0,0,0,0,0,0
beam,35_40,hV2_8,0,0,0,0,0,0
beam,40_999,hV2_8,0,0,0,0,0,0
