axis,multiplicity_bin,quantity,data,data_err,mc,mc_err,data_over_mc,data_over_mc_err,mc_over_data,mc_over_data_err
beam,0_10,hV2_2,0.4425728702,0.0001880014064,0.4465631932,0.000160737109,0.991064371,0.0005518074207,1.009016194,0.000561802684
beam,10_15,hV2_2,0.3728065306,0.0003688851488,0.3791268141,0.0002937716201,0.9833293681,0.001235825317,1.016953253,0.001278083028
beam,15_20,hV2_2,0.3177477033,0.001304744341,0.3261398169,0.001147277214,0.9742683565,0.005267868608,1.026411248,0.005549805203
beam,20_25,hV2_2,0.2750288592,0.003808782738,0.2895753064,0.004860814377,0.9497662719,0.02066818241,1.052890621,0.02291230597
beam,25_30,hV2_2,0.2436139203,0.02391125978,0.2580555266,0.01732656855,0.9440368259,0.1122650841,1.059280711,0.1259699144
beam,30_35,hV2_2,0,0,0.3025305017,0.02700875767,0,0,0,0
beam,35_40,hV2_2,0,0,0,0,0,0,0,0
beam,40_999,hV2_2,0,0,0,0,0,0,0,0
beam,0_10,hV2_4,0.4183089745,0.0003975380109,0.421647545,0.0003670697466,0.9920820826,0.001278605677,1.007981111,0.001299096509
beam,10_15,hV2_4,0.3109569068,0.0008922949644,0.3167574836,0.0009604187779,0.9816876409,0.004098157723,1.018653957,0.004252477476
beam,15_20,hV2_4,0.2358664878,0.003746769683,0.2425481554,0.002852984464,0.9724522018,0.01922149342,1.028328177,0.02032593813
beam,20_25,hV2_4,0,0,0,0,0,0,0,0
beam,25_30,hV2_4,0,0,0.2191998444,0.03588931097,0,0,0,0
beam,30_35,hV2_4,0,0,0.3377681023,0.01128660517,0,0,0,0
beam,35_40,hV2_4,0,0,0,0,0,0,0,0
beam,40_999,hV2_4,0,0,0,0,0,0,0,0
beam,0_10,hV2_6,0.4183766567,0.0004004653026,0.4219016716,0.0003875976411,0.9916449375,0.001315642101,1.008425458,0.00133790527
beam,10_15,hV2_6,0.3022559662,0.001373696871,0.3075735083,0.001130108435,0.982711313,0.005743238808,1.017592844,0.005947096198
beam,15_20,hV2_6,0.2224445414,0.006500084326,0.2263139677,0.00500823746,0.9829023972,0.03602836106,1.017395016,0.03729269059
beam,20_25,hV2_6,0,0,0,0,0,0,0,0
beam,25_30,hV2_6,0,0,0.2097903796,0.06297157262,0,0,0,0
beam,30_35,hV2_6,0,0,0.3349579758,0.009390834445,0,0,0,0
beam,35_40,hV2_6,0,0,0,0,0,0,0,0
beam,40_999,hV2_6,0,0,0,0,0,0,0,0
beam,0_10,hV2_8,0.4184405717,0.0003907044316,0.4220358562,0.0004409770193,0.9914810922,0.001389347613,1.008592103,0.001413325017
beam,10_15,hV2_8,0.2998061024,0.001527838628,0.3050268358,0.001346850095,0.9828843473,0.006627504225,1.0174137,0.006860332663
beam,15_20,hV2_8,0.2216276475,0.007705837758,0.2227394449,0.006315527957,0.9950085293,0.04464081924,1.00501651,0.04508982492
beam,20_25,hV2_8,0,0,0.1975609814,0.03615644093,0,0,0,0
beam,25_30,hV2_8,0,0,0.217196222,0.03521569189,0,0,0,0
beam,30_35,hV2_8,0,0,0.334760442,0.00922484235,0,0,0,0
beam,35_40,hV2_8,0,0,0,0,0,0,0,0
beam,40_999,hV2_8,0,0,0,0,0,0,0,0
