axis,multiplicity_bin,quantity,data,data_err,mc,mc_err,data_over_mc,data_over_mc_err
thrust,0_10,hV2_2,0.2160288533,0.0001587489013,0.2229202231,0.0001630280138,0.9690859373,0.001004698289
thrust,10_15,hV2_2,0.2450022958,0.0004901328496,0.2547851028,0.0005998646493,0.9616036932,0.002970914693
thrust,15_20,hV2_2,0.2458861779,0.001457671397,0.2567127491,0.001060051592,0.957826126,0.006919944184
thrust,20_25,hV2_2,0.2339664369,0.004114229196,0.2486009883,0.005435022439,0.9411323682,0.02640522236
thrust,25_30,hV2_2,0.192991835,0.02569157033,0.2680133044,0.03229636639,0.7200830401,0.1292996407
thrust,30_35,hV2_2,0,0,0,0,0,0
thrust,35_40,hV2_2,0,0,0,0,0,0
thrust,40_999,hV2_2,0,0,0,0,0,0
thrust,0_10,hV2_4,0,0,0,0,0,0
thrust,10_15,hV2_4,0.1738084231,0.002292901036,0.1839425634,0.001989102851,0.9449059527,0.0161180136
thrust,15_20,hV2_4,0.1775533712,0.006784565002,0.1705776564,0.007120796564,1.040894658,0.05890739903
thrust,20_25,hV2_4,0.1173765309,0.08182496762,0.1876350486,0.02380716661,0.6255576014,0.4432499279
thrust,25_30,hV2_4,0,0,0,0,0,0
thrust,30_35,hV2_4,0,0,0,0,0,0
thrust,35_40,hV2_4,0,0,0,0,0,0
thrust,40_999,hV2_4,0,0,0,0,0,0
thrust,0_10,hV2_6,0,0,0,0,0,0
thrust,10_15,hV2_6,0.14546223,0.02163836108,0.1726507928,0.007509796639,0.8425228035,0.1305782642
thrust,15_20,hV2_6,0.1683882197,0.01144659842,0.1415651399,0.05140224763,1.189475176,0.4394016301
thrust,20_25,hV2_6,0,0,0.2129890719,0.01864847023,0,0
thrust,25_30,hV2_6,0,0,0,0,0,0
thrust,30_35,hV2_6,0,0,0,0,0,0
thrust,35_40,hV2_6,0,0,0,0,0,0
thrust,40_999,hV2_6,0,0,0,0,0,0
thrust,0_10,hV2_8,0,0,0,0,0,0
thrust,10_15,hV2_8,0,0,0.1619132439,0.04368453063,0,0
thrust,15_20,hV2_8,0.1699497156,0.01862300014,0.1778531947,0.01679585291,0.9555617815,0.138229647
thrust,20_25,hV2_8,0,0,0.2099282688,0.01297762672,0,0
thrust,25_30,hV2_8,0,0,0,0,0,0
thrust,30_35,hV2_8,0,0,0,0,0,0
thrust,35_40,hV2_8,0,0,0,0,0,0
thrust,40_999,hV2_8,0,0,0,0,0,0
