axis,multiplicity_bin,quantity,data,data_err,mc,mc_err,data_over_mc,data_over_mc_err
thrust,0_10,hV2_2,0.5053763987,0.003551028933,0.5132512518,0.002926637994,0.9846569238,0.008910264685
thrust,10_15,hV2_2,0.4730711961,0.0006705177072,0.4792491203,0.0006699681827,0.9871091591,0.001965120285
thrust,15_20,hV2_2,0.4488058694,0.0003361171194,0.4553181907,0.0003958709954,0.9856972082,0.001131104292
thrust,20_25,hV2_2,0.4223145183,0.0004202929536,0.4305062336,0.0003724643153,0.9809719008,0.001293611969
thrust,25_30,hV2_2,0.3953448304,0.0006328423029,0.4051709524,0.0004558056671,0.9757482073,0.001909056489
thrust,30_35,hV2_2,0.3697585733,0.001180933875,0.3829258379,0.001442210329,0.9656140608,0.004768343793
thrust,35_40,hV2_2,0.3519568551,0.003627959129,0.3532082903,0.003876517763,0.9964569485,0.01500348873
thrust,40_999,hV2_2,0.3177590485,0.02558236733,0.3222724446,0.02439634612,0.9859950916,0.1089615667
thrust,0_10,hV2_4,0.4620300698,0.005471454437,0.4671414317,0.005906445691,0.9890582134,0.01713394943
thrust,10_15,hV2_4,0.4421146536,0.0009343443492,0.4449690272,0.000750892032,0.9935852309,0.002687086718
thrust,15_20,hV2_4,0.4098194015,0.0003939932651,0.4160688381,0.0005488276771,0.9849798014,0.001607729064
thrust,20_25,hV2_4,0.3738693783,0.0005098925451,0.3807636051,0.0005308925561,0.9818936821,0.001915082172
thrust,25_30,hV2_4,0.3374209482,0.0009936912552,0.3464953146,0.001237352898,0.9738109983,0.004507514885
thrust,30_35,hV2_4,0.2999138117,0.003309291165,0.3122708134,0.002928579286,0.960428573,0.01390816527
thrust,35_40,hV2_4,0.2923014336,0.007450887202,0.2768526667,0.009293357488,1.055801402,0.04450130055
thrust,40_999,hV2_4,0,0,0.2253688942,0.05576837922,0,0
thrust,0_10,hV2_6,0.4631236144,0.004500025503,0.4760963833,0.003428746289,0.9727518012,0.01176505875
thrust,10_15,hV2_6,0.440367736,0.0009123976843,0.4446567127,0.000738658296,0.9903544092,0.00263000399
thrust,15_20,hV2_6,0.4070235325,0.0004422375941,0.4138793656,0.0005592153363,0.9834351899,0.001705101357
thrust,20_25,hV2_6,0.3691205819,0.0005327769112,0.3760417684,0.0005689718601,0.9815946337,0.002052600299
thrust,25_30,hV2_6,0.3292280929,0.001184128858,0.3394535906,0.001406171753,0.9698765958,0.005320731864
thrust,30_35,hV2_6,0.2881671169,0.004348339548,0.3020363282,0.003706678355,0.954080983,0.01855697495
thrust,35_40,hV2_6,0.2829028394,0.008590412523,0.2661068536,0.01192719433,1.063117449,0.05755557474
thrust,40_999,hV2_6,0,0,0,0,0,0
thrust,0_10,hV2_8,0.4657521204,0.004538850725,0.4750621221,0.004076927742,0.9804025596,0.01273081237
thrust,10_15,hV2_8,0.4398661962,0.0008779873486,0.44391706,0.0007313545848,0.9908747284,0.002564511721
thrust,15_20,hV2_8,0.4062875671,0.0004101764745,0.4131464057,0.0005224080049,0.9833985277,0.001591192255
thrust,20_25,hV2_8,0.3681037306,0.0005454252545,0.3750589822,0.0005942762356,0.9814555792,0.002129121515
thrust,25_30,hV2_8,0.3275719585,0.001198438896,0.3379960256,0.001433010683,0.9691592021,0.00542731573
thrust,30_35,hV2_8,0.2853464004,0.004732944993,0.2990538497,0.004263018905,0.954163943,0.02086813611
thrust,35_40,hV2_8,0.2803990456,0.009407748363,0.2662871632,0.01342708125,1.052994978,0.06377533729
thrust,40_999,hV2_8,0,0,0,0,0,0
