axis,multiplicity_bin,quantity,data,data_err,mc,mc_err,data_over_mc,data_over_mc_err
thrust,0_10,hV2TwoSub_2,0.0881351995,0.00269686213,0.09246535319,0.002883447707,0.953169987,0.04164333329
thrust,10_15,hV2TwoSub_2,0.1014029632,0.001263105761,0.1074685429,0.001112203239,0.9435594867,0.01528051962
thrust,15_20,hV2TwoSub_2,0.1199796421,0.0008711690654,0.1241351377,0.001025081239,0.9665244204,0.01062793487
thrust,20_25,hV2TwoSub_2,0.1210526302,0.001255654094,0.1277586474,0.001265863241,0.9475102678,0.01359167321
thrust,25_30,hV2TwoSub_2,0.1140122684,0.002591307796,0.1223502808,0.002109766527,0.9318513019,0.02658505781
thrust,30_35,hV2TwoSub_2,0.09882734693,0.007239772499,0.1172786308,0.008398723787,0.8426713905,0.08632771154
thrust,35_40,hV2TwoSub_2,0.1144006539,0.01751507904,0.06999284038,0.03854927145,1.634462229,0.9343311883
thrust,40_999,hV2TwoSub_2,0.1305919445,0.112864492,0,0,0,0
thrust,0_10,hV2TwoSub_4,0,0,0,0,0,0
thrust,10_15,hV2TwoSub_4,0,0,0,0,0,0
thrust,15_20,hV2TwoSub_4,0,0,0,0,0,0
thrust,20_25,hV2TwoSub_4,0,0,0,0,0,0
thrust,25_30,hV2TwoSub_4,0,0,0,0,0,0
thrust,30_35,hV2TwoSub_4,0,0,0.1583645261,0.08791896638,0,0
thrust,35_40,hV2TwoSub_4,0.1868056918,0.1106663941,0,0,0,0
thrust,40_999,hV2TwoSub_4,0,0,0,0,0,0
thrust,0_10,hV2TwoSub_6,0,0,0,0,0,0
thrust,10_15,hV2TwoSub_6,0,0,0.2327563843,0.03268551166,0,0
thrust,15_20,hV2TwoSub_6,0.1938854117,0.03288587756,0,0,0,0
thrust,20_25,hV2TwoSub_6,0,0,0,0,0,0
thrust,25_30,hV2TwoSub_6,0,0,0,0,0,0
thrust,30_35,hV2TwoSub_6,0,0,0.2511551407,0.05291386005,0,0
thrust,35_40,hV2TwoSub_6,0,0,0.3000348448,0.04736662842,0,0
thrust,40_999,hV2TwoSub_6,0,0,0.3050053826,0.08363926692,0,0
thrust,0_10,hV2TwoSub_8,0.352765516,0.02352379351,0,0,0,0
thrust,10_15,hV2TwoSub_8,0.2998389546,0.01167191767,0,0,0,0
thrust,15_20,hV2TwoSub_8,0,0,0,0,0,0
thrust,20_25,hV2TwoSub_8,0,0,0,0,0,0
thrust,25_30,hV2TwoSub_8,0,0,0.2620066529,0.01433239454,0,0
thrust,30_35,hV2TwoSub_8,0,0,0,0,0,0
thrust,35_40,hV2TwoSub_8,0.2907901216,0.06362110396,0.2893143296,0.06287680977,1.005100998,0.3099563939
thrust,40_999,hV2TwoSub_8,0,0,0,0,0,0
