axis,multiplicity_bin,quantity,noshoving,noshoving_err,shoving,shoving_err,shoving2x,shoving2x_err,shoving_over_noshoving,shoving_over_noshoving_err,shoving2x_over_noshoving,shoving2x_over_noshoving_err
thrust,0_10,hV2TwoSub_2,0.07931824304,0.002961292663,0.08424499242,0.003369541042,0.07506781562,0.0062970122,1.062113698,0.05811233393,0.9464129908,0.08689715231
thrust,10_15,hV2TwoSub_2,0.09059783725,0.001528365759,0.09570295089,0.001231660286,0.09943144292,0.001119572166,1.056349178,0.02241394171,1.097503494,0.02225988396
thrust,15_20,hV2TwoSub_2,0.1094530557,0.0009568248538,0.1121145404,0.001136599272,0.115907044,0.0009488111828,1.024316221,0.01371192429,1.058965812,0.01268243267
thrust,20_25,hV2TwoSub_2,0.1105072989,0.001451103168,0.1157569436,0.001658479623,0.1187107088,0.00115517066,1.04750496,0.02035776917,1.0742341,0.01755715782
thrust,25_30,hV2TwoSub_2,0.1075902556,0.002715920337,0.1099618387,0.0029396214,0.1157435403,0.003662374124,1.022042731,0.03757834616,1.075780884,0.04354512899
thrust,30_35,hV2TwoSub_2,0.09635398097,0.007717617002,0.1074113912,0.009354387907,0.1107700663,0.009658355096,1.114758209,0.1318999901,1.149615877,0.1361119894
thrust,35_40,hV2TwoSub_2,0.1204837297,0.01855737524,0.05705894935,0.0541529744,0.129996024,0.02326222299,0.4735821963,0.4553434259,1.078950862,0.2547441844
thrust,40_999,hV2TwoSub_2,0,0,0,0,0,0,0,0,0,0
thrust,0_10,hV2TwoSub_4,0,0,0,0,0,0,0,0,0,0
thrust,10_15,hV2TwoSub_4,0,0,0,0,0,0,0,0,0,0
thrust,15_20,hV2TwoSub_4,0,0,0,0,0,0,0,0,0,0
thrust,20_25,hV2TwoSub_4,0,0,0,0,0,0,0,0,0,0
thrust,25_30,hV2TwoSub_4,0.1230778519,0.0451114772,0,0,0,0,0,0,0,0
thrust,30_35,hV2TwoSub_4,0,0,0.1927728475,0.04677383045,0,0,0,0,0,0
thrust,35_40,hV2TwoSub_4,0.2444560792,0.03440672657,0,0,0.2800741305,0.03469188051,0,0,1.145703275,0.2148094473
thrust,40_999,hV2TwoSub_4,0,0,0,0,0,0,0,0,0,0
thrust,0_10,hV2TwoSub_6,0,0,0,0,0,0,0,0,0,0
thrust,10_15,hV2TwoSub_6,0,0,0.2113206929,0.05624604436,0.2520827418,0.02155659176,0,0,0,0
thrust,15_20,hV2TwoSub_6,0.2163738242,0.0280278676,0,0,0,0,0,0,0,0
thrust,20_25,hV2TwoSub_6,0,0,0.1959088556,0.09616352887,0,0,0,0,0,0
thrust,25_30,hV2TwoSub_6,0,0,0,0,0,0,0,0,0,0
thrust,30_35,hV2TwoSub_6,0,0,0,0,0.2415012642,0.05667985857,0,0,0,0
thrust,35_40,hV2TwoSub_6,0,0,0.2779918564,0.09883396054,0,0,0,0,0,0
thrust,40_999,hV2TwoSub_6,0,0,0.3580855168,0.1551666948,0.3739203846,0.09632366505,0,0,0,0
thrust,0_10,hV2TwoSub_8,0.3785162363,0.02157453406,0,0,0.3325247227,0.07539639336,0,0,0.8784952687,0.2053864852
thrust,10_15,hV2TwoSub_8,0.2989887284,0.01596944049,0,0,0,0,0,0,0,0
thrust,15_20,hV2TwoSub_8,0,0,0,0,0,0,0,0,0,0
thrust,20_25,hV2TwoSub_8,0,0,0.2322830603,0.07652788323,0,0,0,0,0,0
thrust,25_30,hV2TwoSub_8,0,0,0.2479471512,0.04121012656,0.2403981863,0.0699107172,0,0,0,0
thrust,30_35,hV2TwoSub_8,0,0,0,0,0,0,0,0,0,0
thrust,35_40,hV2TwoSub_8,0.3052765892,0.08199705555,0.3214243404,0.06341101474,0,0,1.052895478,0.350893052,0,0
thrust,40_999,hV2TwoSub_8,0,0,0,0,0,0,0,0,0,0
