axis,multiplicity_bin,quantity,data,data_err,mc,mc_err,data_over_mc,data_over_mc_err
beam,0_10,hV2_2,0.7896052381,0.0001331397682,0.7905183461,0.0003462119123,0.998844925,0.0004687513405
beam,10_15,hV2_2,0.7299066786,0.0003850486722,0.7313498865,0.0005017654656,0.998026652,0.0008637382267
beam,15_20,hV2_2,0.6767362566,0.001155539742,0.6792857061,0.002098438733,0.9962468671,0.003516438067
beam,20_25,hV2_2,0.623276866,0.01050356801,0.6496068169,0.01702511794,0.9594678655,0.02989589888
beam,25_30,hV2_2,0.6260451014,0.1445069593,0,0,0,0
beam,30_35,hV2_2,0,0,0,0,0,0
beam,35_40,hV2_2,0,0,0,0,0,0
beam,40_999,hV2_2,0,0,0,0,0,0
beam,0_10,hV2_4,0.7738093377,0.0001986659067,0.7740460385,0.0003310030677,0.9996942032,0.0004986250885
beam,10_15,hV2_4,0.6923228411,0.0005320851839,0.6935953568,0.0007484218842,0.9981653341,0.00132233824
beam,15_20,hV2_4,0.6227084478,0.001566077269,0.6251449565,0.002967401882,0.9961024899,0.005350888556
beam,20_25,hV2_4,0.5546180457,0.01231492994,0.5929134859,0.02532069849,0.9354114199,0.04502426956
beam,25_30,hV2_4,0.5477306617,0.2169684098,0,0,0,0
beam,30_35,hV2_4,0,0,0,0,0,0
beam,35_40,hV2_4,0,0,0,0,0,0
beam,40_999,hV2_4,0,0,0,0,0,0
beam,0_10,hV2_6,0.7732076628,0.0001998606078,0.7733490599,0.0003276375205,0.9998171626,0.0004961969508
beam,10_15,hV2_6,0.6876281093,0.0005750673596,0.6887528834,0.0007957198004,0.9983669409,0.001423902802
beam,15_20,hV2_6,0.6159893872,0.001730147681,0.6181949562,0.003278607245,0.9964322435,0.005979942758
beam,20_25,hV2_6,0.5459135825,0.01220301948,0.5851001138,0.02746802413,0.933025938,0.04851364534
beam,25_30,hV2_6,0.5292535791,0.2432477861,0,0,0,0
beam,30_35,hV2_6,0,0,0,0,0,0
beam,35_40,hV2_6,0,0,0,0,0,0
beam,40_999,hV2_6,0,0,0,0,0,0
beam,0_10,hV2_8,0.7731432163,0.0002001963733,0.7732744952,0.0003252118364,0.9998302298,0.0004938023428
beam,10_15,hV2_8,0.6867841386,0.0005856942157,0.6878902992,0.0008062842513,0.998391952,0.00144719498
beam,15_20,hV2_8,0.6147602848,0.001772979096,0.6169127585,0.003358109703,0.9965108945,0.006138723665
beam,20_25,hV2_8,0.5444696179,0.01211113895,0.5832610385,0.02811802498,0.9334921793,0.04956160007
beam,25_30,hV2_8,0.5239781349,0.2542215804,0,0,0,0
beam,30_35,hV2_8,0,0,0,0,0,0
beam,35_40,hV2_8,0,0,0,0,0,0
beam,40_999,hV2_8,0,0,0,0,0,0
