axis,multiplicity_bin,quantity,data,data_err,mc,mc_err,data_over_mc,data_over_mc_err
thrust,0_10,hV2_2,0.6078923143,0.0004735033572,0.6405028348,0.0006278798672,0.9490860639,0.00118832962
thrust,10_15,hV2_2,0.5969615314,0.0006284458561,0.6225407432,0.001480515852,0.958911586,0.002493910997
thrust,15_20,hV2_2,0.5873742147,0.00178591329,0.6088519216,0.004737111313,0.9647242522,0.008058726928
thrust,20_25,hV2_2,0.5987198154,0.009741681281,0.5979873882,0.01226581562,1.00122482,0.02621366014
thrust,25_30,hV2_2,0.2741794064,0.07670014673,0,0,0,0
thrust,30_35,hV2_2,0,0,0,0,0,0
thrust,35_40,hV2_2,0,0,0,0,0,0
thrust,40_999,hV2_2,0,0,0,0,0,0
thrust,0_10,hV2_4,0.5457341029,0.0007835319379,0.5920094483,0.001924331536,0.9218334343,0.003275707679
thrust,10_15,hV2_4,0.5373801284,0.001150978853,0.5771831592,0.002044583682,0.9310391681,0.003854061543
thrust,15_20,hV2_4,0.5192130644,0.003260306847,0.5500184441,0.01040513741,0.943992097,0.01881632142
thrust,20_25,hV2_4,0.5421693385,0.0127767141,0.567616404,0.01694486008,0.9551685516,0.03632823212
thrust,25_30,hV2_4,0.3682335536,0.07213116081,0,0,0,0
thrust,30_35,hV2_4,0,0,0,0,0,0
thrust,35_40,hV2_4,0,0,0,0,0,0
thrust,40_999,hV2_4,0,0,0,0,0,0
thrust,0_10,hV2_6,0.5323989364,0.001302455137,0.5797277058,0.002031584238,0.9183603458,0.003924900329
thrust,10_15,hV2_6,0.5251602874,0.0009776386168,0.5685451453,0.001911259257,0.923691446,0.003549470991
thrust,15_20,hV2_6,0.5096020747,0.004074656106,0.5427129516,0.01187012291,0.9389900741,0.02186675705
thrust,20_25,hV2_6,0.5320472077,0.01503537686,0.5606145524,0.02036576414,0.9490428055,0.0436795903
thrust,25_30,hV2_6,0.3618867061,0.0689467101,0,0,0,0
thrust,30_35,hV2_6,0,0,0,0,0,0
thrust,35_40,hV2_6,0,0,0,0,0,0
thrust,40_999,hV2_6,0,0,0,0,0,0
thrust,0_10,hV2_8,0.5280855586,0.001388894651,0.5773821621,0.001955543487,0.9146204945,0.003922045693
thrust,10_15,hV2_8,0.5215248432,0.001028567015,0.5662153521,0.001771157451,0.9210715345,0.003406031323
thrust,15_20,hV2_8,0.5056238782,0.004573066733,0.5423187545,0.01172220587,0.9323370694,0.02184552213
thrust,20_25,hV2_8,0.5284963506,0.01603951823,0.5588148604,0.02177812174,0.9457449829,0.04671537962
thrust,25_30,hV2_8,0,0,0,0,0,0
thrust,30_35,hV2_8,0,0,0,0,0,0
thrust,35_40,hV2_8,0,0,0,0,0,0
thrust,40_999,hV2_8,0,0,0,0,0,0
