axis,multiplicity_bin,quantity,data,data_err,mc,mc_err,data_over_mc,data_over_mc_err
beam,0_10,hV2TwoSub_2,0.8176610788,0.0004646966212,0.8278045122,0.0007104094123,0.9877465836,0.001016694973
beam,10_15,hV2TwoSub_2,0.7871066668,0.0002565638735,0.7921703031,0.0002550263434,0.9936078943,0.000455209155
beam,15_20,hV2TwoSub_2,0.7354435928,0.0001938432215,0.7346996935,0.000276130922,1.001012522,0.0004595159498
beam,20_25,hV2TwoSub_2,0.6652556999,0.0003913148922,0.6598104928,0.0007346828645,1.008252683,0.001269688966
beam,25_30,hV2TwoSub_2,0.5889164156,0.0008998449081,0.5809556132,0.001439272874,1.013702944,0.002950608553
beam,30_35,hV2TwoSub_2,0.5231017694,0.003460212305,0.5029193067,0.004595426781,1.040130618,0.01173318567
beam,35_40,hV2TwoSub_2,0.4771606751,0.01221873812,0.4441574136,0.01718362933,1.074305326,0.04984244871
beam,40_999,hV2TwoSub_2,0.5118371741,0.04334588235,0.4193591935,0.0694395345,1.220522125,0.2269981202
beam,0_10,hV2TwoSub_4,0.8105893407,0.0006327264048,0.8198518752,0.0007286452005,0.9887021854,0.001169505181
beam,10_15,hV2TwoSub_4,0.7750090906,0.0003397975241,0.7789019121,0.0002698880446,0.9950021673,0.0005560392696
beam,15_20,hV2TwoSub_4,0.7119432462,0.0002083756678,0.7090533779,0.0004180867327,1.004075671,0.0006609694685
beam,20_25,hV2TwoSub_4,0.6249853002,0.0005993532762,0.6155236945,0.0009730285668,1.015371635,0.001877375469
beam,25_30,hV2TwoSub_4,0.5293995835,0.001320586806,0.5178172853,0.002073979464,1.022367539,0.004824061181
beam,30_35,hV2TwoSub_4,0.4456817996,0.005091107264,0.419585319,0.006902534587,1.062195886,0.02127362941
beam,35_40,hV2TwoSub_4,0.3889601548,0.02989668223,0.3802260218,0.01791824772,1.022970898,0.09223048687
beam,40_999,hV2TwoSub_4,0.4279404087,0.08563493481,0.4220638177,0.06194062333,1.013923466,0.251610959
beam,0_10,hV2TwoSub_6,0.8101404716,0.0006434829522,0.8192476211,0.0007887103049,0.9888835204,0.00123421595
beam,10_15,hV2TwoSub_6,0.7741874192,0.0003477385665,0.7779997575,0.00026736235,0.9950998207,0.000562779508
beam,15_20,hV2TwoSub_6,0.7099842782,0.0002152686505,0.7068850545,0.0004658145567,1.004384339,0.0007285561534
beam,20_25,hV2TwoSub_6,0.6211181823,0.0006592051556,0.6114548207,0.0009886787684,1.015803885,0.001964696586
beam,25_30,hV2TwoSub_6,0.5230132695,0.001520218413,0.5116373751,0.002572887712,1.022234291,0.005937482255
beam,30_35,hV2TwoSub_6,0.43784218,0.005920799477,0.4111589515,0.008431567561,1.064897598,0.02615820802
beam,35_40,hV2TwoSub_6,0.3592611734,0.05386012128,0.3964088757,0.01636180169,0.9062894286,0.1409254574
beam,40_999,hV2TwoSub_6,0,0,0.4364096253,0.04930693848,0,0
beam,0_10,hV2TwoSub_8,0.8100590378,0.0006492202263,0.8192199531,0.0007956814629,0.9888175145,0.001245156029
beam,10_15,hV2TwoSub_8,0.7740562506,0.0003489873064,0.7778583695,0.0002666201897,0.9951120678,0.0005635850693
beam,15_20,hV2TwoSub_8,0.7096819408,0.0002176448224,0.7065572219,0.0004766365456,1.004422457,0.0007443062665
beam,20_25,hV2TwoSub_8,0.6204981486,0.0006741632499,0.6108716572,0.0009936501607,1.015758615,0.001986922389
beam,25_30,hV2TwoSub_8,0.5219944488,0.001613151619,0.5107213289,0.002750683163,1.022072937,0.006346573008
beam,30_35,hV2TwoSub_8,0.4384206447,0.006110360936,0.4095829731,0.009000682737,1.070407399,0.02785439602
beam,35_40,hV2TwoSub_8,0,0,0.4050676315,0.0129268143,0,0
beam,40_999,hV2TwoSub_8,0,0,0.4392105137,0.04819726171,0,0
