axis,multiplicity_bin,quantity,data,data_err,mc,mc_err,data_over_mc,data_over_mc_err
thrust,0_10,hV2TwoSub_2,0.2019872752,0.003287604577,0.2115712248,0.004278587389,0.9547010726,0.02478335176
thrust,10_15,hV2TwoSub_2,0.2155957342,0.0009940296663,0.2161948755,0.001405096123,0.9972286978,0.007946451562
thrust,15_20,hV2TwoSub_2,0.2248281143,0.001044895431,0.2282042644,0.001380152876,0.9852055781,0.007514505612
thrust,20_25,hV2TwoSub_2,0.2263239265,0.0008128263976,0.2223280324,0.001489516661,1.017972966,0.007738166458
thrust,25_30,hV2TwoSub_2,0.221091299,0.00133001561,0.2193494472,0.003439102829,1.00794099,0.01692646193
thrust,30_35,hV2TwoSub_2,0.2150891073,0.005790985887,0.2137878457,0.009578040718,1.006086696,0.05258733577
thrust,35_40,hV2TwoSub_2,0.2044876509,0.01793481998,0.2277908567,0.03637852009,0.897699117,0.1635609365
thrust,40_999,hV2TwoSub_2,0.3038901241,0.04843280262,0,0,0,0
thrust,0_10,hV2TwoSub_4,0,0,0,0,0,0
thrust,10_15,hV2TwoSub_4,0,0,0,0,0,0
thrust,15_20,hV2TwoSub_4,0,0,0,0,0,0
thrust,20_25,hV2TwoSub_4,0,0,0,0,0,0
thrust,25_30,hV2TwoSub_4,0,0,0,0,0,0
thrust,30_35,hV2TwoSub_4,0,0,0.2124019873,0.09054642403,0,0
thrust,35_40,hV2TwoSub_4,0,0,0,0,0,0
thrust,40_999,hV2TwoSub_4,0,0,0,0,0,0
thrust,0_10,hV2TwoSub_6,0.3174297879,0.03614015578,0.350305815,0.0570317208,0.9061504955,0.1800209208
thrust,10_15,hV2TwoSub_6,0.2337243138,0.03713117424,0.2524678393,0.03804421755,0.9257587599,0.2027097468
thrust,15_20,hV2TwoSub_6,0,0,0,0,0,0
thrust,20_25,hV2TwoSub_6,0,0,0,0,0,0
thrust,25_30,hV2TwoSub_6,0,0,0,0,0,0
thrust,30_35,hV2TwoSub_6,0,0,0.2603813799,0.09561889318,0,0
thrust,35_40,hV2TwoSub_6,0.2675787414,0.08721780354,0,0,0,0
thrust,40_999,hV2TwoSub_6,0,0,0,0,0,0
thrust,0_10,hV2TwoSub_8,0.3815105942,0.04024415637,0.4185745045,0.0298123765,0.9114520594,0.1160095055
thrust,10_15,hV2TwoSub_8,0,0,0.3018198305,0.03651458211,0,0
thrust,15_20,hV2TwoSub_8,0,0,0.2801166077,0.0245412816,0,0
thrust,20_25,hV2TwoSub_8,0,0,0,0,0,0
thrust,25_30,hV2TwoSub_8,0,0,0.2745062667,0.02952245232,0,0
thrust,30_35,hV2TwoSub_8,0,0,0,0,0,0
thrust,35_40,hV2TwoSub_8,0.3210917879,0.01887736741,0,0,0,0
thrust,40_999,hV2TwoSub_8,0,0,0.3195598913,0.1228335073,0,0
