sample,shoving_setting,axis,bin_scheme,multiplicity_bin,multiplicity_bin_text,n,number_of_events,number_of_valid_pairs,VnDelta,statistical_uncertainty,signed_vn_proxy
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,beam,high_multiplicity,30_35,"[30,35)",1,486003.0,62704582.0,-0.4257899812908409,0.00034901927204745054,-0.6525258472205073
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,beam,high_multiplicity,30_35,"[30,35)",2,486003.0,62704582.0,0.2446009766269553,0.0005552768344993215,0.49457150810267597
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,beam,high_multiplicity,30_35,"[30,35)",3,486003.0,62704582.0,-0.13307321782848341,0.0003113221607963551,-0.3647920199627226
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,beam,high_multiplicity,35_40,"[35,40)",1,201347.0,32041486.0,-0.3500070681762075,0.000954045471342174,-0.5916139519789975
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,beam,high_multiplicity,35_40,"[35,40)",2,201347.0,32041486.0,0.17153496824029948,0.0009057965246163368,0.4141678020323399
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,beam,high_multiplicity,35_40,"[35,40)",3,201347.0,32041486.0,-0.07730891917200719,0.0005899479104255217,-0.2780448150424805
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,beam,high_multiplicity,40_45,"[40,45)",1,67202.0,12693686.0,-0.2858232222949268,0.0019614423059374367,-0.5346243749539734
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,beam,high_multiplicity,40_45,"[40,45)",2,67202.0,12693686.0,0.11846128068030831,0.002030581442689346,0.34418204584247025
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,beam,high_multiplicity,40_45,"[40,45)",3,67202.0,12693686.0,-0.04422212905880136,0.0012480083519754044,-0.21029058243012538
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,beam,high_multiplicity,45_50,"[45,50)",1,18725.0,4080748.0,-0.23689170832320447,0.0035491340282761425,-0.48671522302389975
