sample,shoving_setting,axis,observable_type,case,gap_value,multiplicity_bin,multiplicity_bin_text,number_of_events,number_of_valid_pairs,signed_c2_2,statistical_uncertainty,v2_2_if_c2_positive,v2_2_from_summary,note
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,beam,inclusive,inclusive,0.0,0_10,"[0,10)",62665.0,3696916.0,0.6019871743271961,0.0013963404339228456,0.7758783244344413,nan,
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,beam,inclusive,inclusive,0.0,10_15,"[10,15)",561231.0,82677608.0,0.610825980587271,0.00028999842454809473,0.7815535685973617,nan,
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,beam,inclusive,inclusive,0.0,15_20,"[15,20)",1291430.0,360108698.0,0.5771861390248896,0.00018262777691987008,0.7597276742523531,nan,
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,beam,inclusive,inclusive,0.0,20_25,"[20,25)",1366844.0,629320474.0,0.5169223812832761,0.00022976682457200498,0.7189731436453493,nan,
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,beam,inclusive,inclusive,0.0,25_30,"[25,30)",939430.0,650797238.0,0.4474938759641755,0.00024997143001546484,0.6689498306780378,nan,
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,beam,inclusive,inclusive,0.0,30_35,"[30,35)",486003.0,473439078.0,0.38123349609957635,0.00041883186450450026,0.6174410871488683,nan,
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,beam,inclusive,inclusive,0.0,35_40,"[35,40)",201347.0,262845914.0,0.32371311023921795,0.000456915573792293,0.568957916052864,nan,
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,beam,inclusive,inclusive,0.0,40_999,"[40,inf)",91050.0,166685550.0,0.25830436857202077,0.0005448459442234338,0.5082365281756328,nan,
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,beam,pt_selection,pt_1_to_3_GeV,0.0,0_10,"[0,10)",62665.0,296980.0,0.6451248528469931,0.0025054585336146606,0.8031966464365953,nan,
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,beam,pt_selection,pt_1_to_3_GeV,0.0,10_15,"[10,15)",561231.0,7508656.0,0.6401252637068472,0.00035976752899417815,0.8000782859863447,nan,
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,beam,pt_selection,pt_1_to_3_GeV,0.0,15_20,"[15,20)",1291430.0,37775342.0,0.5977441029076587,0.00031150733856683194,0.7731391226083819,nan,
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,beam,pt_selection,pt_1_to_3_GeV,0.0,20_25,"[20,25)",1366844.0,76313460.0,0.5352858056958759,0.0003092575221156817,0.7316322885820964,nan,
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,beam,pt_selection,pt_1_to_3_GeV,0.0,25_30,"[25,30)",939430.0,89162726.0,0.46919755739466734,0.00038641885829958453,0.684979968608329,nan,
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,beam,pt_selection,pt_1_to_3_GeV,0.0,30_35,"[30,35)",486003.0,71140594.0,0.4077215969862439,0.0005063042316239447,0.6385308113053307,nan,
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,beam,pt_selection,pt_1_to_3_GeV,0.0,35_40,"[35,40)",201347.0,42415362.0,0.3543704981260091,0.0006253671825562685,0.5952902637587895,nan,
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,beam,pt_selection,pt_1_to_3_GeV,0.0,40_999,"[40,inf)",91050.0,28861470.0,0.29282510319263017,0.0007180676594343708,0.5411331658590427,nan,
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,beam,rapidity_gap,abs_delta_eta_gt_1p0,1.0,0_10,"[0,10)",62665.0,1582566.0,0.5038785107835629,0.0019605066858815958,0.7098440045415352,nan,
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,beam,rapidity_gap,abs_delta_eta_gt_1p0,1.0,10_15,"[10,15)",561231.0,31354004.0,0.5233240931910961,0.0003435506462390032,0.7234114273296325,nan,
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,beam,rapidity_gap,abs_delta_eta_gt_1p0,1.0,15_20,"[15,20)",1291430.0,125353434.0,0.4863114146085539,0.0002214388435064168,0.6973603190665166,nan,
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,beam,rapidity_gap,abs_delta_eta_gt_1p0,1.0,20_25,"[20,25)",1366844.0,206025304.0,0.41358179603341344,0.0002851195707800215,0.6431032545660249,nan,
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,beam,rapidity_gap,abs_delta_eta_gt_1p0,1.0,25_30,"[25,30)",939430.0,203812520.0,0.32996334689807083,0.0002744176829530902,0.5744243613375662,nan,
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,beam,rapidity_gap,abs_delta_eta_gt_1p0,1.0,30_35,"[30,35)",486003.0,143100012.0,0.2530746282272848,0.000521150705319981,0.5030652325765366,nan,
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,beam,rapidity_gap,abs_delta_eta_gt_1p0,1.0,35_40,"[35,40)",201347.0,76940128.0,0.19044908856031537,0.0005447998699035822,0.43640473022220483,nan,
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,beam,rapidity_gap,abs_delta_eta_gt_1p0,1.0,40_999,"[40,inf)",91050.0,46754172.0,0.12864140060424983,0.0010522965789438886,0.35866614086675347,nan,
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,beam,rapidity_gap,abs_delta_eta_gt_1p6,1.6,0_10,"[0,10)",62665.0,1153632.0,0.5101506197025567,0.0020961492524140053,0.7142482899542404,nan,
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,beam,rapidity_gap,abs_delta_eta_gt_1p6,1.6,10_15,"[10,15)",561231.0,20816454.0,0.5328194956916773,0.0005180670535278669,0.729944857980161,nan,
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,beam,rapidity_gap,abs_delta_eta_gt_1p6,1.6,15_20,"[15,20)",1291430.0,76061768.0,0.4948631796674776,0.0003751565843778675,0.7034651232772507,nan,
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,beam,rapidity_gap,abs_delta_eta_gt_1p6,1.6,20_25,"[20,25)",1366844.0,114548968.0,0.41620765671778026,0.0004090074641519116,0.6451415788164488,nan,
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,beam,rapidity_gap,abs_delta_eta_gt_1p6,1.6,25_30,"[25,30)",939430.0,104318666.0,0.32236076267798514,0.00035519305344345014,0.5677682297187693,nan,
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,beam,rapidity_gap,abs_delta_eta_gt_1p6,1.6,30_35,"[30,35)",486003.0,67678936.0,0.23512016288123977,0.0006090920860598797,0.4848919084509864,nan,
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,beam,rapidity_gap,abs_delta_eta_gt_1p6,1.6,35_40,"[35,40)",201347.0,33907312.0,0.16556885842953284,0.0008752175608208212,0.40690153407124535,nan,
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,beam,rapidity_gap,abs_delta_eta_gt_1p6,1.6,40_999,"[40,inf)",91050.0,18765020.0,0.10294240587827777,0.0013089804841365947,0.3208463898476618,nan,
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,beam,rapidity_gap,abs_delta_eta_gt_2p0,2.0,0_10,"[0,10)",62665.0,922674.0,0.5087213286402348,0.002010406853232113,0.7132470319883811,nan,
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,beam,rapidity_gap,abs_delta_eta_gt_2p0,2.0,10_15,"[10,15)",561231.0,15480604.0,0.5308478973311377,0.0006293516704949513,0.7285930944849379,nan,
Pythia qqbar 200 GeV enhanced shoving,enhanced_shoving,beam,rapidity_gap,abs_delta_eta_gt_2p0,2.0,15_20,"[15,20)",1291430.0,52777834.0,0.4907899826044396,0.00043409822936805905,0.7005640460403599,nan,
