sample,shoving_setting,axis,observable_type,case,gap_value,multiplicity_bin,multiplicity_bin_text,block,number_of_events,number_of_valid_pairs,numerator
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,beam,inclusive,inclusive,0,0_10,"[0,10)",1,3896,229156,136825.009474
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,beam,inclusive,inclusive,0,10_15,"[10,15)",1,35012,5158566,3148695.30148
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,beam,inclusive,inclusive,0,15_20,"[15,20)",1,80670,22509302,12978224.6463
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,beam,inclusive,inclusive,0,20_25,"[20,25)",1,85309,39295636,20335597.7742
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,beam,inclusive,inclusive,0,25_30,"[25,30)",1,58797,40703766,18214085.6625
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,beam,inclusive,inclusive,0,30_35,"[30,35)",1,30411,29646934,11267357.4614
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,beam,inclusive,inclusive,0,35_40,"[35,40)",1,12538,16373134,5336484.83716
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,beam,inclusive,inclusive,0,40_999,"[40,inf)",1,5867,10753504,2783840.20201
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,thrust,inclusive,inclusive,0,0_10,"[0,10)",1,3896,100530,7840.74472173
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,thrust,inclusive,inclusive,0,10_15,"[10,15)",1,35012,2054756,200810.80501
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,thrust,inclusive,inclusive,0,15_20,"[15,20)",1,80670,9503474,1240861.70034
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,thrust,inclusive,inclusive,0,20_25,"[20,25)",1,85309,18816292,3119209.8036
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,thrust,inclusive,inclusive,0,25_30,"[25,30)",1,58797,22032414,4025218.66409
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,thrust,inclusive,inclusive,0,30_35,"[30,35)",1,30411,17617512,3310177.37921
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,thrust,inclusive,inclusive,0,35_40,"[35,40)",1,12538,10406354,1827082.29637
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,thrust,inclusive,inclusive,0,40_999,"[40,inf)",1,5867,7281068,1163608.66255
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,beam,pt_selection,pt_1_to_3_GeV,0,0_10,"[0,10)",1,3896,18980,12167.214476
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,beam,pt_selection,pt_1_to_3_GeV,0,10_15,"[10,15)",1,35012,466390,297644.880278
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,beam,pt_selection,pt_1_to_3_GeV,0,15_20,"[15,20)",1,80670,2363796,1410805.88285
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,beam,pt_selection,pt_1_to_3_GeV,0,20_25,"[20,25)",1,85309,4740378,2545083.5268
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,beam,pt_selection,pt_1_to_3_GeV,0,25_30,"[25,30)",1,58797,5581452,2626704.73555
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,beam,pt_selection,pt_1_to_3_GeV,0,30_35,"[30,35)",1,30411,4448648,1810518.21631
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,beam,pt_selection,pt_1_to_3_GeV,0,35_40,"[35,40)",1,12538,2651022,952987.090182
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,beam,pt_selection,pt_1_to_3_GeV,0,40_999,"[40,inf)",1,5867,1862470,548580.044339
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,thrust,pt_selection,pt_1_to_3_GeV,0,0_10,"[0,10)",1,3896,4208,1410.68718955
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,thrust,pt_selection,pt_1_to_3_GeV,0,10_15,"[10,15)",1,35012,120960,41919.7132259
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,thrust,pt_selection,pt_1_to_3_GeV,0,15_20,"[15,20)",1,80670,767856,275222.836003
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,thrust,pt_selection,pt_1_to_3_GeV,0,20_25,"[20,25)",1,85309,1919988,690205.308152
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,thrust,pt_selection,pt_1_to_3_GeV,0,25_30,"[25,30)",1,58797,2658760,902783.953297
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,thrust,pt_selection,pt_1_to_3_GeV,0,30_35,"[30,35)",1,30411,2356108,749959.158777
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,thrust,pt_selection,pt_1_to_3_GeV,0,35_40,"[35,40)",1,12538,1488598,416733.904826
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,thrust,pt_selection,pt_1_to_3_GeV,0,40_999,"[40,inf)",1,5867,1116370,268495.160454
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,beam,rapidity_gap,abs_delta_eta_gt_1p0,1,0_10,"[0,10)",1,3896,98562,49678.5988852
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,beam,rapidity_gap,abs_delta_eta_gt_1p0,1,10_15,"[10,15)",1,35012,1954506,1022218.96251
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,beam,rapidity_gap,abs_delta_eta_gt_1p0,1,15_20,"[15,20)",1,80670,7841634,3807123.81675
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,beam,rapidity_gap,abs_delta_eta_gt_1p0,1,20_25,"[20,25)",1,85309,12839402,5304145.56284
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,beam,rapidity_gap,abs_delta_eta_gt_1p0,1,25_30,"[25,30)",1,58797,12733470,4217552.7515
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,beam,rapidity_gap,abs_delta_eta_gt_1p0,1,30_35,"[30,35)",1,30411,8936802,2257610.58767
"Pythia qqbar 200 GeV enhanced shoving",enhanced_shoving,beam,rapidity_gap,abs_delta_eta_gt_1p0,1,35_40,"[35,40)",1,12538,4774312,927406.356331
