sample,shoving_setting,axis,observable_type,case,gap_value,multiplicity_bin,multiplicity_bin_text,block,number_of_events,number_of_valid_pairs,numerator
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,inclusive,inclusive,0,0_10,"[0,10)",7,3783,224076,134989.983723
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,inclusive,inclusive,0,10_15,"[10,15)",7,34708,5123810,3113593.41452
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,inclusive,inclusive,0,15_20,"[15,20)",7,80423,22428044,12811454.2975
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,inclusive,inclusive,0,20_25,"[20,25)",7,85881,39545392,20215975.8712
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,inclusive,inclusive,0,25_30,"[25,30)",7,58821,40746624,17990718.9703
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,inclusive,inclusive,0,30_35,"[30,35)",7,30475,29671838,11220403.0288
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,inclusive,inclusive,0,35_40,"[35,40)",7,12579,16423196,5230738.14252
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,inclusive,inclusive,0,40_999,"[40,inf)",7,5830,10711276,2690394.09836
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,inclusive,inclusive,0,0_10,"[0,10)",7,3783,97930,6802.46954224
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,inclusive,inclusive,0,10_15,"[10,15)",7,34708,2063866,193135.065845
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,inclusive,inclusive,0,15_20,"[15,20)",7,80423,9653612,1204982.15413
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,inclusive,inclusive,0,20_25,"[20,25)",7,85881,19307056,3006375.26516
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,inclusive,inclusive,0,25_30,"[25,30)",7,58821,22480194,3879397.34694
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,inclusive,inclusive,0,30_35,"[30,35)",7,30475,17903626,3104330.24474
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,inclusive,inclusive,0,35_40,"[35,40)",7,12579,10672006,1757382.64858
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,inclusive,inclusive,0,40_999,"[40,inf)",7,5830,7385202,1082668.82196
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,pt_selection,pt_1_to_3_GeV,0,0_10,"[0,10)",7,3783,18260,11750.2214496
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,pt_selection,pt_1_to_3_GeV,0,10_15,"[10,15)",7,34708,466222,296758.608208
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,pt_selection,pt_1_to_3_GeV,0,15_20,"[15,20)",7,80423,2352216,1388747.0725
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,pt_selection,pt_1_to_3_GeV,0,20_25,"[20,25)",7,85881,4819058,2553753.28011
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,pt_selection,pt_1_to_3_GeV,0,25_30,"[25,30)",7,58821,5588510,2587172.56518
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,pt_selection,pt_1_to_3_GeV,0,30_35,"[30,35)",7,30475,4490320,1815938.78682
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,pt_selection,pt_1_to_3_GeV,0,35_40,"[35,40)",7,12579,2639656,916942.385699
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,pt_selection,pt_1_to_3_GeV,0,40_999,"[40,inf)",7,5830,1841984,522133.683321
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,pt_selection,pt_1_to_3_GeV,0,0_10,"[0,10)",7,3783,4326,1243.28330197
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,pt_selection,pt_1_to_3_GeV,0,10_15,"[10,15)",7,34708,122764,41477.3209525
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,pt_selection,pt_1_to_3_GeV,0,15_20,"[15,20)",7,80423,776592,274891.139514
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,pt_selection,pt_1_to_3_GeV,0,20_25,"[20,25)",7,85881,1980580,691521.830375
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,pt_selection,pt_1_to_3_GeV,0,25_30,"[25,30)",7,58821,2705642,891471.303008
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,pt_selection,pt_1_to_3_GeV,0,30_35,"[30,35)",7,30475,2402476,719830.290011
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,pt_selection,pt_1_to_3_GeV,0,35_40,"[35,40)",7,12579,1532934,413814.434904
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,pt_selection,pt_1_to_3_GeV,0,40_999,"[40,inf)",7,5830,1123702,261372.171173
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,rapidity_gap,abs_delta_eta_gt_1p0,1,0_10,"[0,10)",7,3783,96148,48783.4537381
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,rapidity_gap,abs_delta_eta_gt_1p0,1,10_15,"[10,15)",7,34708,1942252,1008885.00177
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,rapidity_gap,abs_delta_eta_gt_1p0,1,15_20,"[15,20)",7,80423,7824998,3766470.04881
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,rapidity_gap,abs_delta_eta_gt_1p0,1,20_25,"[20,25)",7,85881,12923940,5253529.29645
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,rapidity_gap,abs_delta_eta_gt_1p0,1,25_30,"[25,30)",7,58821,12787592,4150350.13482
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,rapidity_gap,abs_delta_eta_gt_1p0,1,30_35,"[30,35)",7,30475,9017790,2292548.31881
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,rapidity_gap,abs_delta_eta_gt_1p0,1,35_40,"[35,40)",7,12579,4821450,891227.645077
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,rapidity_gap,abs_delta_eta_gt_1p0,1,40_999,"[40,inf)",7,5830,3023364,371699.062728
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,rapidity_gap,abs_delta_eta_gt_1p0,1,0_10,"[0,10)",7,3783,77038,3464.03250691
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,rapidity_gap,abs_delta_eta_gt_1p0,1,10_15,"[10,15)",7,34708,1557504,92638.8971484
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,rapidity_gap,abs_delta_eta_gt_1p0,1,15_20,"[15,20)",7,80423,6845134,491283.77594
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,rapidity_gap,abs_delta_eta_gt_1p0,1,20_25,"[20,25)",7,85881,12687628,1036281.64156
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,rapidity_gap,abs_delta_eta_gt_1p0,1,25_30,"[25,30)",7,58821,13780150,1105466.25431
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,rapidity_gap,abs_delta_eta_gt_1p0,1,30_35,"[30,35)",7,30475,10408010,739979.035638
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,rapidity_gap,abs_delta_eta_gt_1p0,1,35_40,"[35,40)",7,12579,5959502,347986.208102
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,rapidity_gap,abs_delta_eta_gt_1p0,1,40_999,"[40,inf)",7,5830,4008000,193223.333863
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,rapidity_gap,abs_delta_eta_gt_1p6,1.6,0_10,"[0,10)",7,3783,70418,36328.4121466
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,rapidity_gap,abs_delta_eta_gt_1p6,1.6,10_15,"[10,15)",7,34708,1285222,679478.066111
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,rapidity_gap,abs_delta_eta_gt_1p6,1.6,15_20,"[15,20)",7,80423,4747388,2323870.57436
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,rapidity_gap,abs_delta_eta_gt_1p6,1.6,20_25,"[20,25)",7,85881,7164966,2926030.02134
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,rapidity_gap,abs_delta_eta_gt_1p6,1.6,25_30,"[25,30)",7,58821,6548424,2068535.53321
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,rapidity_gap,abs_delta_eta_gt_1p6,1.6,30_35,"[30,35)",7,30475,4256784,1012469.00528
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,rapidity_gap,abs_delta_eta_gt_1p6,1.6,35_40,"[35,40)",7,12579,2122924,334431.302616
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,rapidity_gap,abs_delta_eta_gt_1p6,1.6,40_999,"[40,inf)",7,5830,1217808,118218.522354
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,rapidity_gap,abs_delta_eta_gt_1p6,1.6,0_10,"[0,10)",7,3783,67482,2668.3493693
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,rapidity_gap,abs_delta_eta_gt_1p6,1.6,10_15,"[10,15)",7,34708,1337522,67338.351379
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,rapidity_gap,abs_delta_eta_gt_1p6,1.6,15_20,"[15,20)",7,80423,5729036,330738.703776
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,rapidity_gap,abs_delta_eta_gt_1p6,1.6,20_25,"[20,25)",7,85881,10290318,624961.494412
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,rapidity_gap,abs_delta_eta_gt_1p6,1.6,25_30,"[25,30)",7,58821,10841094,600633.282999
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,rapidity_gap,abs_delta_eta_gt_1p6,1.6,30_35,"[30,35)",7,30475,7963414,358655.289207
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,rapidity_gap,abs_delta_eta_gt_1p6,1.6,35_40,"[35,40)",7,12579,4428210,150049.956399
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,rapidity_gap,abs_delta_eta_gt_1p6,1.6,40_999,"[40,inf)",7,5830,2858252,73474.1260791
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,rapidity_gap,abs_delta_eta_gt_2p0,2,0_10,"[0,10)",7,3783,56596,28853.754664
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,rapidity_gap,abs_delta_eta_gt_2p0,2,10_15,"[10,15)",7,34708,959056,506211.831459
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,rapidity_gap,abs_delta_eta_gt_2p0,2,15_20,"[15,20)",7,80423,3294824,1606169.5154
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,rapidity_gap,abs_delta_eta_gt_2p0,2,20_25,"[20,25)",7,85881,4646216,1851954.85478
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,rapidity_gap,abs_delta_eta_gt_2p0,2,25_30,"[25,30)",7,58821,3977456,1193993.02628
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,rapidity_gap,abs_delta_eta_gt_2p0,2,30_35,"[30,35)",7,30475,2423990,523829.104888
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,rapidity_gap,abs_delta_eta_gt_2p0,2,35_40,"[35,40)",7,12579,1136374,153469.487686
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,rapidity_gap,abs_delta_eta_gt_2p0,2,40_999,"[40,inf)",7,5830,608530,47008.760025
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,rapidity_gap,abs_delta_eta_gt_2p0,2,0_10,"[0,10)",7,3783,61288,2160.65730105
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,rapidity_gap,abs_delta_eta_gt_2p0,2,10_15,"[10,15)",7,34708,1202534,52844.315426
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,rapidity_gap,abs_delta_eta_gt_2p0,2,15_20,"[15,20)",7,80423,5076634,242897.74505
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,rapidity_gap,abs_delta_eta_gt_2p0,2,20_25,"[20,25)",7,85881,8955634,432806.223326
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,rapidity_gap,abs_delta_eta_gt_2p0,2,25_30,"[25,30)",7,58821,9271936,392278.17204
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,rapidity_gap,abs_delta_eta_gt_2p0,2,30_35,"[30,35)",7,30475,6679758,219422.174391
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,rapidity_gap,abs_delta_eta_gt_2p0,2,35_40,"[35,40)",7,12579,3629922,87390.8096497
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,rapidity_gap,abs_delta_eta_gt_2p0,2,40_999,"[40,inf)",7,5830,2248732,38099.064518
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,rapidity_gap,abs_delta_eta_gt_2p5,2.5,0_10,"[0,10)",7,3783,42914,21898.6601016
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,rapidity_gap,abs_delta_eta_gt_2p5,2.5,10_15,"[10,15)",7,34708,638990,330044.466871
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,rapidity_gap,abs_delta_eta_gt_2p5,2.5,15_20,"[15,20)",7,80423,1990892,939230.403388
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,rapidity_gap,abs_delta_eta_gt_2p5,2.5,20_25,"[20,25)",7,85881,2551762,944806.437873
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,rapidity_gap,abs_delta_eta_gt_2p5,2.5,25_30,"[25,30)",7,58821,1992412,529656.068277
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,rapidity_gap,abs_delta_eta_gt_2p5,2.5,30_35,"[30,35)",7,30475,1101392,198259.330945
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,rapidity_gap,abs_delta_eta_gt_2p5,2.5,35_40,"[35,40)",7,12579,478948,53140.8492855
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,rapidity_gap,abs_delta_eta_gt_2p5,2.5,40_999,"[40,inf)",7,5830,228950,11772.4980772
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,rapidity_gap,abs_delta_eta_gt_2p5,2.5,0_10,"[0,10)",7,3783,54060,1711.09253601
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,rapidity_gap,abs_delta_eta_gt_2p5,2.5,10_15,"[10,15)",7,34708,1046982,36512.6191367
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,rapidity_gap,abs_delta_eta_gt_2p5,2.5,15_20,"[15,20)",7,80423,4338528,155584.347226
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,rapidity_gap,abs_delta_eta_gt_2p5,2.5,20_25,"[20,25)",7,85881,7499370,260231.549321
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,rapidity_gap,abs_delta_eta_gt_2p5,2.5,25_30,"[25,30)",7,58821,7593120,227969.579259
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,rapidity_gap,abs_delta_eta_gt_2p5,2.5,30_35,"[30,35)",7,30475,5310712,119329.630192
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,rapidity_gap,abs_delta_eta_gt_2p5,2.5,35_40,"[35,40)",7,12579,2773550,46557.1956948
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,rapidity_gap,abs_delta_eta_gt_2p5,2.5,40_999,"[40,inf)",7,5830,1597724,20323.5900078
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,rapidity_gap,abs_delta_eta_gt_3p0,3,0_10,"[0,10)",7,3783,31590,15837.4582665
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,rapidity_gap,abs_delta_eta_gt_3p0,3,10_15,"[10,15)",7,34708,412026,204029.757957
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,rapidity_gap,abs_delta_eta_gt_3p0,3,15_20,"[15,20)",7,80423,1139108,504535.039568
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,rapidity_gap,abs_delta_eta_gt_3p0,3,20_25,"[20,25)",7,85881,1321254,438636.021736
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,rapidity_gap,abs_delta_eta_gt_3p0,3,25_30,"[25,30)",7,58821,918226,205123.696987
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,rapidity_gap,abs_delta_eta_gt_3p0,3,30_35,"[30,35)",7,30475,454206,62847.2337249
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,rapidity_gap,abs_delta_eta_gt_3p0,3,35_40,"[35,40)",7,12579,184382,15884.7456254
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,rapidity_gap,abs_delta_eta_gt_3p0,3,40_999,"[40,inf)",7,5830,73682,2168.79043499
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,rapidity_gap,abs_delta_eta_gt_3p0,3,0_10,"[0,10)",7,3783,47200,975.772951458
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,rapidity_gap,abs_delta_eta_gt_3p0,3,10_15,"[10,15)",7,34708,904222,23202.5948806
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,rapidity_gap,abs_delta_eta_gt_3p0,3,15_20,"[15,20)",7,80423,3678672,93931.6686472
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,rapidity_gap,abs_delta_eta_gt_3p0,3,20_25,"[20,25)",7,85881,6227490,151670.070948
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,rapidity_gap,abs_delta_eta_gt_3p0,3,25_30,"[25,30)",7,58821,6125600,139570.210236
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,rapidity_gap,abs_delta_eta_gt_3p0,3,30_35,"[30,35)",7,30475,4111454,67413.3515346
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,rapidity_gap,abs_delta_eta_gt_3p0,3,35_40,"[35,40)",7,12579,2030648,28446.8195885
"Pythia qqbar 200 GeV no shoving",no_shoving,thrust,rapidity_gap,abs_delta_eta_gt_3p0,3,40_999,"[40,inf)",7,5830,1060052,11021.3740393
"Pythia qqbar 200 GeV no shoving",no_shoving,beam,two_subevent,eta_lt_minus_0p0_vs_eta_gt_0p0,0,0_10,"[0,10)",7,3783,56213,33828.7295591
