sample,shoving_setting,axis,bin_scheme,multiplicity_bin,multiplicity_bin_text,n,block,number_of_events,number_of_valid_pairs,numerator
"Pythia WW no shoving",no_shoving,thrust,standard,0_10,"[0,10)",1,11,13,216,-32.1449719836
"Pythia WW no shoving",no_shoving,thrust,standard,0_10,"[0,10)",2,11,13,216,40.1178653332
"Pythia WW no shoving",no_shoving,thrust,standard,0_10,"[0,10)",3,11,13,216,-21.8113536206
"Pythia WW no shoving",no_shoving,thrust,standard,10_15,"[10,15)",1,11,911,39024,-2937.18228727
"Pythia WW no shoving",no_shoving,thrust,standard,10_15,"[10,15)",2,11,911,39024,812.141554544
"Pythia WW no shoving",no_shoving,thrust,standard,10_15,"[10,15)",3,11,911,39024,-442.407379618
"Pythia WW no shoving",no_shoving,thrust,standard,15_20,"[15,20)",1,11,12398,905762,-61517.3943338
"Pythia WW no shoving",no_shoving,thrust,standard,15_20,"[15,20)",2,11,12398,905762,124.750032951
"Pythia WW no shoving",no_shoving,thrust,standard,15_20,"[15,20)",3,11,12398,905762,-19170.0401963
"Pythia WW no shoving",no_shoving,thrust,standard,20_25,"[20,25)",1,11,53433,6062846,-391259.78785
"Pythia WW no shoving",no_shoving,thrust,standard,20_25,"[20,25)",2,11,53433,6062846,-4722.23855655
"Pythia WW no shoving",no_shoving,thrust,standard,20_25,"[20,25)",3,11,53433,6062846,-134290.486467
"Pythia WW no shoving",no_shoving,thrust,standard,25_30,"[25,30)",1,11,93467,15309124,-903227.027678
"Pythia WW no shoving",no_shoving,thrust,standard,25_30,"[25,30)",2,11,93467,15309124,58705.1299216
"Pythia WW no shoving",no_shoving,thrust,standard,25_30,"[25,30)",3,11,93467,15309124,-301248.356745
"Pythia WW no shoving",no_shoving,thrust,standard,30_35,"[30,35)",1,11,83942,18796938,-1005889.19469
"Pythia WW no shoving",no_shoving,thrust,standard,30_35,"[30,35)",2,11,83942,18796938,184983.034592
"Pythia WW no shoving",no_shoving,thrust,standard,30_35,"[30,35)",3,11,83942,18796938,-332292.697653
"Pythia WW no shoving",no_shoving,thrust,standard,35_40,"[35,40)",1,11,45824,13439746,-625387.858271
"Pythia WW no shoving",no_shoving,thrust,standard,35_40,"[35,40)",2,11,45824,13439746,218951.809318
"Pythia WW no shoving",no_shoving,thrust,standard,35_40,"[35,40)",3,11,45824,13439746,-185854.079278
"Pythia WW no shoving",no_shoving,thrust,standard,40_999,"[40,inf)",1,11,22512,8958022,-337812.516394
"Pythia WW no shoving",no_shoving,thrust,standard,40_999,"[40,inf)",2,11,22512,8958022,162319.864792
"Pythia WW no shoving",no_shoving,thrust,standard,40_999,"[40,inf)",3,11,22512,8958022,-93555.2646733
"Pythia WW no shoving",no_shoving,thrust,high_multiplicity,30_35,"[30,35)",1,11,83942,18796938,-1005889.19469
"Pythia WW no shoving",no_shoving,thrust,high_multiplicity,30_35,"[30,35)",2,11,83942,18796938,184983.034592
"Pythia WW no shoving",no_shoving,thrust,high_multiplicity,30_35,"[30,35)",3,11,83942,18796938,-332292.697653
"Pythia WW no shoving",no_shoving,thrust,high_multiplicity,35_40,"[35,40)",1,11,45824,13439746,-625387.858271
"Pythia WW no shoving",no_shoving,thrust,high_multiplicity,35_40,"[35,40)",2,11,45824,13439746,218951.809318
"Pythia WW no shoving",no_shoving,thrust,high_multiplicity,35_40,"[35,40)",3,11,45824,13439746,-185854.079278
"Pythia WW no shoving",no_shoving,thrust,high_multiplicity,40_45,"[40,45)",1,11,16981,6308220,-247526.498284
"Pythia WW no shoving",no_shoving,thrust,high_multiplicity,40_45,"[40,45)",2,11,16981,6308220,108694.552567
"Pythia WW no shoving",no_shoving,thrust,high_multiplicity,40_45,"[40,45)",3,11,16981,6308220,-69412.0394334
"Pythia WW no shoving",no_shoving,thrust,high_multiplicity,45_50,"[45,50)",1,11,4459,2029558,-73982.0257291
"Pythia WW no shoving",no_shoving,thrust,high_multiplicity,45_50,"[45,50)",2,11,4459,2029558,43611.2074853
"Pythia WW no shoving",no_shoving,thrust,high_multiplicity,45_50,"[45,50)",3,11,4459,2029558,-22322.0879378
"Pythia WW no shoving",no_shoving,thrust,high_multiplicity,50_999,"[50,inf)",1,11,1072,620244,-16303.992381
"Pythia WW no shoving",no_shoving,thrust,high_multiplicity,50_999,"[50,inf)",2,11,1072,620244,10014.1047397
"Pythia WW no shoving",no_shoving,thrust,high_multiplicity,50_999,"[50,inf)",3,11,1072,620244,-1821.13730214
