sample,shoving_setting,axis,bin_scheme,multiplicity_bin,multiplicity_bin_text,n,block,number_of_events,number_of_valid_pairs,numerator
"Pythia WW nominal shoving",nominal_shoving,thrust,standard,0_10,"[0,10)",1,11,8,160,-31.3280449652
"Pythia WW nominal shoving",nominal_shoving,thrust,standard,0_10,"[0,10)",2,11,8,160,-44.789452011
"Pythia WW nominal shoving",nominal_shoving,thrust,standard,0_10,"[0,10)",3,11,8,160,-9.44196301775
"Pythia WW nominal shoving",nominal_shoving,thrust,standard,10_15,"[10,15)",1,11,901,36634,-3169.54422866
"Pythia WW nominal shoving",nominal_shoving,thrust,standard,10_15,"[10,15)",2,11,901,36634,-283.105090442
"Pythia WW nominal shoving",nominal_shoving,thrust,standard,10_15,"[10,15)",3,11,901,36634,-1022.55700207
"Pythia WW nominal shoving",nominal_shoving,thrust,standard,15_20,"[15,20)",1,11,12599,928592,-66891.5890333
"Pythia WW nominal shoving",nominal_shoving,thrust,standard,15_20,"[15,20)",2,11,12599,928592,41.4198174185
"Pythia WW nominal shoving",nominal_shoving,thrust,standard,15_20,"[15,20)",3,11,12599,928592,-23358.8897206
"Pythia WW nominal shoving",nominal_shoving,thrust,standard,20_25,"[20,25)",1,11,53538,6065006,-386390.674806
"Pythia WW nominal shoving",nominal_shoving,thrust,standard,20_25,"[20,25)",2,11,53538,6065006,-1780.99726361
"Pythia WW nominal shoving",nominal_shoving,thrust,standard,20_25,"[20,25)",3,11,53538,6065006,-132833.334529
"Pythia WW nominal shoving",nominal_shoving,thrust,standard,25_30,"[25,30)",1,11,93277,15245152,-877351.545197
"Pythia WW nominal shoving",nominal_shoving,thrust,standard,25_30,"[25,30)",2,11,93277,15245152,68584.2298394
"Pythia WW nominal shoving",nominal_shoving,thrust,standard,25_30,"[25,30)",3,11,93277,15245152,-296110.266867
"Pythia WW nominal shoving",nominal_shoving,thrust,standard,30_35,"[30,35)",1,11,84015,18776264,-1008521.51327
"Pythia WW nominal shoving",nominal_shoving,thrust,standard,30_35,"[30,35)",2,11,84015,18776264,233139.176677
"Pythia WW nominal shoving",nominal_shoving,thrust,standard,30_35,"[30,35)",3,11,84015,18776264,-324728.287862
"Pythia WW nominal shoving",nominal_shoving,thrust,standard,35_40,"[35,40)",1,11,45771,13375652,-632878.272472
"Pythia WW nominal shoving",nominal_shoving,thrust,standard,35_40,"[35,40)",2,11,45771,13375652,244722.046333
"Pythia WW nominal shoving",nominal_shoving,thrust,standard,35_40,"[35,40)",3,11,45771,13375652,-183129.310176
"Pythia WW nominal shoving",nominal_shoving,thrust,standard,40_999,"[40,inf)",1,11,22391,8885556,-351518.207534
"Pythia WW nominal shoving",nominal_shoving,thrust,standard,40_999,"[40,inf)",2,11,22391,8885556,177108.794161
"Pythia WW nominal shoving",nominal_shoving,thrust,standard,40_999,"[40,inf)",3,11,22391,8885556,-84875.7182033
"Pythia WW nominal shoving",nominal_shoving,thrust,high_multiplicity,30_35,"[30,35)",1,11,84015,18776264,-1008521.51327
"Pythia WW nominal shoving",nominal_shoving,thrust,high_multiplicity,30_35,"[30,35)",2,11,84015,18776264,233139.176677
"Pythia WW nominal shoving",nominal_shoving,thrust,high_multiplicity,30_35,"[30,35)",3,11,84015,18776264,-324728.287862
"Pythia WW nominal shoving",nominal_shoving,thrust,high_multiplicity,35_40,"[35,40)",1,11,45771,13375652,-632878.272472
"Pythia WW nominal shoving",nominal_shoving,thrust,high_multiplicity,35_40,"[35,40)",2,11,45771,13375652,244722.046333
"Pythia WW nominal shoving",nominal_shoving,thrust,high_multiplicity,35_40,"[35,40)",3,11,45771,13375652,-183129.310176
"Pythia WW nominal shoving",nominal_shoving,thrust,high_multiplicity,40_45,"[40,45)",1,11,16988,6302578,-266442.115575
"Pythia WW nominal shoving",nominal_shoving,thrust,high_multiplicity,40_45,"[40,45)",2,11,16988,6302578,128140.67571
"Pythia WW nominal shoving",nominal_shoving,thrust,high_multiplicity,40_45,"[40,45)",3,11,16988,6302578,-65835.0012191
"Pythia WW nominal shoving",nominal_shoving,thrust,high_multiplicity,45_50,"[45,50)",1,11,4395,2006248,-70434.6446205
"Pythia WW nominal shoving",nominal_shoving,thrust,high_multiplicity,45_50,"[45,50)",2,11,4395,2006248,45178.019441
"Pythia WW nominal shoving",nominal_shoving,thrust,high_multiplicity,45_50,"[45,50)",3,11,4395,2006248,-19313.0467861
"Pythia WW nominal shoving",nominal_shoving,thrust,high_multiplicity,50_999,"[50,inf)",1,11,1008,576730,-14641.4473383
"Pythia WW nominal shoving",nominal_shoving,thrust,high_multiplicity,50_999,"[50,inf)",2,11,1008,576730,3790.09900985
"Pythia WW nominal shoving",nominal_shoving,thrust,high_multiplicity,50_999,"[50,inf)",3,11,1008,576730,272.329801947
