sample,shoving_setting,axis,bin_scheme,multiplicity_bin,multiplicity_bin_text,n,number_of_events,number_of_valid_pairs,VnDelta,statistical_uncertainty,signed_vn_proxy
Pythia WW enhanced shoving,enhanced_shoving,thrust,high_multiplicity,30_35,"[30,35)",1,1342948.0,299572554.0,-0.053525107825178136,0.0001100609137888371,-0.23135493905507645
Pythia WW enhanced shoving,enhanced_shoving,thrust,high_multiplicity,30_35,"[30,35)",2,1342948.0,299572554.0,0.012436988569600405,0.0003560791674666205,0.11152124716662921
Pythia WW enhanced shoving,enhanced_shoving,thrust,high_multiplicity,30_35,"[30,35)",3,1342948.0,299572554.0,-0.018364610795697258,0.00013615028604915263,-0.13551609054166688
Pythia WW enhanced shoving,enhanced_shoving,thrust,high_multiplicity,35_40,"[35,40)",1,730401.0,213568148.0,-0.04792355844605161,0.00017157974502553076,-0.21891450031017043
Pythia WW enhanced shoving,enhanced_shoving,thrust,high_multiplicity,35_40,"[35,40)",2,730401.0,213568148.0,0.018789258204458467,0.0004404169615531913,0.13707391511319164
Pythia WW enhanced shoving,enhanced_shoving,thrust,high_multiplicity,35_40,"[35,40)",3,730401.0,213568148.0,-0.015180843293518657,0.00012285326705500514,-0.1232105648616167
Pythia WW enhanced shoving,enhanced_shoving,thrust,high_multiplicity,40_45,"[40,45)",1,266564.0,98634582.0,-0.04160342300157971,0.00017822262872811706,-0.20396917169410603
Pythia WW enhanced shoving,enhanced_shoving,thrust,high_multiplicity,40_45,"[40,45)",2,266564.0,98634582.0,0.022127006037679562,0.0005878377643694773,0.14875149087548523
Pythia WW enhanced shoving,enhanced_shoving,thrust,high_multiplicity,40_45,"[40,45)",3,266564.0,98634582.0,-0.011465594515163048,0.0002037929802450858,-0.1070775163849211
Pythia WW enhanced shoving,enhanced_shoving,thrust,high_multiplicity,45_50,"[45,50)",1,70335.0,32118956.0,-0.03549549567307543,0.00047291228499410517,-0.18840248319243413
Pythia WW enhanced shoving,enhanced_shoving,thrust,high_multiplicity,45_50,"[45,50)",2,70335.0,32118956.0,0.022369594221278547,0.0008770623830223881,0.14956468239955095
Pythia WW enhanced shoving,enhanced_shoving,thrust,high_multiplicity,45_50,"[45,50)",3,70335.0,32118956.0,-0.007469795498863039,0.00036228789368534793,-0.08642797868088227
Pythia WW enhanced shoving,enhanced_shoving,thrust,high_multiplicity,50_999,"[50,inf)",1,16045.0,9055926.0,-0.027778198380839243,0.0009810238942173964,-0.16666792847107462
Pythia WW enhanced shoving,enhanced_shoving,thrust,high_multiplicity,50_999,"[50,inf)",2,16045.0,9055926.0,0.017526853053568457,0.0014228071962512367,0.1323890216504694
Pythia WW enhanced shoving,enhanced_shoving,thrust,high_multiplicity,50_999,"[50,inf)",3,16045.0,9055926.0,-0.005516473413606737,0.0007613798482627186,-0.07427296556356651
Pythia WW enhanced shoving,enhanced_shoving,thrust,standard,0_10,"[0,10)",1,163.0,3180.0,-0.0939444792354937,0.023067046743130384,-0.3065036365779266
Pythia WW enhanced shoving,enhanced_shoving,thrust,standard,0_10,"[0,10)",2,163.0,3180.0,-0.07606607060360975,0.04929711820825091,-0.27580078064358293
Pythia WW enhanced shoving,enhanced_shoving,thrust,standard,0_10,"[0,10)",3,163.0,3180.0,0.03821764089227264,0.02018515139445021,0.19549332697632582
Pythia WW enhanced shoving,enhanced_shoving,thrust,standard,10_15,"[10,15)",1,13878.0,581494.0,-0.07803089448883394,0.0025514382383942684,-0.2793401054070717
Pythia WW enhanced shoving,enhanced_shoving,thrust,standard,10_15,"[10,15)",2,13878.0,581494.0,0.013870090347460163,0.004601252099656852,0.11777134773560233
Pythia WW enhanced shoving,enhanced_shoving,thrust,standard,10_15,"[10,15)",3,13878.0,581494.0,-0.02452375030210888,0.002644808575139666,-0.15660060760453287
Pythia WW enhanced shoving,enhanced_shoving,thrust,standard,15_20,"[15,20)",1,201009.0,14771482.0,-0.07077905699580447,0.0005959946774995433,-0.26604333668747365
Pythia WW enhanced shoving,enhanced_shoving,thrust,standard,15_20,"[15,20)",2,201009.0,14771482.0,0.0033776017751177847,0.0010013054410823717,0.05811713839408978
Pythia WW enhanced shoving,enhanced_shoving,thrust,standard,15_20,"[15,20)",3,201009.0,14771482.0,-0.023829976059626244,0.0003442039669342036,-0.15436960860100102
Pythia WW enhanced shoving,enhanced_shoving,thrust,standard,20_25,"[20,25)",1,861017.0,97786770.0,-0.06396715431723535,0.00027594652542377903,-0.25291728750173514
Pythia WW enhanced shoving,enhanced_shoving,thrust,standard,20_25,"[20,25)",2,861017.0,97786770.0,0.002588139000997947,0.0006233293697784208,0.05087375552284249
Pythia WW enhanced shoving,enhanced_shoving,thrust,standard,20_25,"[20,25)",3,861017.0,97786770.0,-0.02256503339172569,0.00017555417965349997,-0.15021662155609042
Pythia WW enhanced shoving,enhanced_shoving,thrust,standard,25_30,"[25,30)",1,1497640.0,244677960.0,-0.05872473604122333,0.00014564485548033295,-0.2423318716991707
Pythia WW enhanced shoving,enhanced_shoving,thrust,standard,25_30,"[25,30)",2,1497640.0,244677960.0,0.006090865198817662,0.00033211559527764013,0.07804399527713624
Pythia WW enhanced shoving,enhanced_shoving,thrust,standard,25_30,"[25,30)",3,1497640.0,244677960.0,-0.021152331799010424,0.00010490694767967054,-0.14543841239167327
Pythia WW enhanced shoving,enhanced_shoving,thrust,standard,30_35,"[30,35)",1,1342948.0,299572554.0,-0.053525107825178136,0.0001100609137888371,-0.23135493905507645
Pythia WW enhanced shoving,enhanced_shoving,thrust,standard,30_35,"[30,35)",2,1342948.0,299572554.0,0.012436988569600405,0.0003560791674666205,0.11152124716662921
Pythia WW enhanced shoving,enhanced_shoving,thrust,standard,30_35,"[30,35)",3,1342948.0,299572554.0,-0.018364610795697258,0.00013615028604915263,-0.13551609054166688
Pythia WW enhanced shoving,enhanced_shoving,thrust,standard,35_40,"[35,40)",1,730401.0,213568148.0,-0.04792355844605161,0.00017157974502553076,-0.21891450031017043
Pythia WW enhanced shoving,enhanced_shoving,thrust,standard,35_40,"[35,40)",2,730401.0,213568148.0,0.018789258204458467,0.0004404169615531913,0.13707391511319164
Pythia WW enhanced shoving,enhanced_shoving,thrust,standard,35_40,"[35,40)",3,730401.0,213568148.0,-0.015180843293518657,0.00012285326705500514,-0.1232105648616167
Pythia WW enhanced shoving,enhanced_shoving,thrust,standard,40_999,"[40,inf)",1,352944.0,139809464.0,-0.039304719816385246,0.0001984555073840277,-0.19825417982071714
Pythia WW enhanced shoving,enhanced_shoving,thrust,standard,40_999,"[40,inf)",2,352944.0,139809464.0,0.021884769461922835,0.0005272457718198127,0.1479350177000795
