sample,shoving_setting,axis,observable_type,case,gap_value,multiplicity_bin,multiplicity_bin_text,number_of_events,number_of_valid_pairs,signed_c2_2,statistical_uncertainty,v2_2_if_c2_positive,note
Pythia WW no shoving,no_shoving,beam,inclusive,inclusive,0.0,0_10,"[0,10)",185.0,12222.0,0.242393749685407,0.018240867639974182,0.4923349974208689,
Pythia WW no shoving,no_shoving,beam,inclusive,inclusive,0.0,10_15,"[10,15)",13721.0,2226802.0,0.19322163214118063,0.0016087519088790177,0.4395698262405879,
Pythia WW no shoving,no_shoving,beam,inclusive,inclusive,0.0,15_20,"[15,20)",198759.0,59710024.0,0.18385089070580532,0.00028952083631252285,0.4287783701468689,
Pythia WW no shoving,no_shoving,beam,inclusive,inclusive,0.0,20_25,"[20,25)",852004.0,409843940.0,0.17193594344262253,0.0002931630488363968,0.4146515928374357,
Pythia WW no shoving,no_shoving,beam,inclusive,inclusive,0.0,25_30,"[25,30)",1494824.0,1058443978.0,0.15862750782303017,0.00015453391571746298,0.39828068974409264,
Pythia WW no shoving,no_shoving,beam,inclusive,inclusive,0.0,30_35,"[30,35)",1347509.0,1326351298.0,0.14483586504612903,0.00012647635803182523,0.3805730745154326,
Pythia WW no shoving,no_shoving,beam,inclusive,inclusive,0.0,35_40,"[35,40)",735571.0,963585548.0,0.13182282005896956,0.00019945674869756936,0.3630741247444791,
Pythia WW no shoving,no_shoving,beam,inclusive,inclusive,0.0,40_999,"[40,inf)",357427.0,648455346.0,0.11599746468961303,0.00022857698968863275,0.34058400533438593,
Pythia WW no shoving,no_shoving,thrust,inclusive,inclusive,0.0,0_10,"[0,10)",185.0,13662.0,0.23932142429114425,0.019091092419014025,0.489204889888832,
Pythia WW no shoving,no_shoving,thrust,inclusive,inclusive,0.0,10_15,"[10,15)",13721.0,2258020.0,0.2431283521374589,0.0017441717167614328,0.4930804722735011,
Pythia WW no shoving,no_shoving,thrust,inclusive,inclusive,0.0,15_20,"[15,20)",198759.0,56542568.0,0.23364034947989729,0.0006227148247832046,0.4833635789753892,
Pythia WW no shoving,no_shoving,thrust,inclusive,inclusive,0.0,20_25,"[20,25)",852004.0,372520216.0,0.22105691205672193,0.00024147312833179752,0.4701668980869686,
Pythia WW no shoving,no_shoving,thrust,inclusive,inclusive,0.0,25_30,"[25,30)",1494824.0,938367082.0,0.20456736612780765,0.0001747584431847556,0.45229124038367985,
Pythia WW no shoving,no_shoving,thrust,inclusive,inclusive,0.0,30_35,"[30,35)",1347509.0,1154354108.0,0.1865624232407414,0.00014596113767821045,0.43192872472288923,
Pythia WW no shoving,no_shoving,thrust,inclusive,inclusive,0.0,35_40,"[35,40)",735571.0,825226422.0,0.16839005102355906,0.0002097770335579592,0.4103535683085491,
Pythia WW no shoving,no_shoving,thrust,inclusive,inclusive,0.0,40_999,"[40,inf)",357427.0,543234918.0,0.14541011872496196,0.00021869154813792928,0.38132678731628855,
Pythia WW no shoving,no_shoving,beam,rapidity_gap,abs_delta_eta_gt_1p0,1.0,0_10,"[0,10)",178.0,5388.0,0.11152633861401488,0.02419592514492864,0.33395559377560197,
Pythia WW no shoving,no_shoving,beam,rapidity_gap,abs_delta_eta_gt_1p0,1.0,10_15,"[10,15)",13527.0,913068.0,0.02349262923234151,0.0034955895352927814,0.15327305448884848,
Pythia WW no shoving,no_shoving,beam,rapidity_gap,abs_delta_eta_gt_1p0,1.0,15_20,"[15,20)",197197.0,23485934.0,0.02107765749575974,0.0005549992986655352,0.14518146402264903,
Pythia WW no shoving,no_shoving,beam,rapidity_gap,abs_delta_eta_gt_1p0,1.0,20_25,"[20,25)",847808.0,154800166.0,0.015582399917474185,0.0003765448948452625,0.12482948336620714,
Pythia WW no shoving,no_shoving,beam,rapidity_gap,abs_delta_eta_gt_1p0,1.0,25_30,"[25,30)",1490522.0,385378564.0,0.010954738290207731,0.00018099535411525235,0.10466488565993722,
Pythia WW no shoving,no_shoving,beam,rapidity_gap,abs_delta_eta_gt_1p0,1.0,30_35,"[30,35)",1345387.0,466582006.0,0.007663742618145055,0.00022750843383555818,0.0875428044909749,
Pythia WW no shoving,no_shoving,beam,rapidity_gap,abs_delta_eta_gt_1p0,1.0,35_40,"[35,40)",734920.0,327533150.0,0.006293260826129027,0.00027942818338388275,0.07933007516780144,
Pythia WW no shoving,no_shoving,beam,rapidity_gap,abs_delta_eta_gt_1p0,1.0,40_999,"[40,inf)",357311.0,210002316.0,0.0059259074084565605,0.00037948367014862237,0.07697991561736452,
Pythia WW no shoving,no_shoving,thrust,rapidity_gap,abs_delta_eta_gt_1p0,1.0,0_10,"[0,10)",178.0,7186.0,0.06264369457644675,0.032007806774582856,0.25028722415746024,
Pythia WW no shoving,no_shoving,thrust,rapidity_gap,abs_delta_eta_gt_1p0,1.0,10_15,"[10,15)",13568.0,1155756.0,0.05860656060385811,0.0030582894637892987,0.24208791916132064,
Pythia WW no shoving,no_shoving,thrust,rapidity_gap,abs_delta_eta_gt_1p0,1.0,15_20,"[15,20)",198078.0,28672212.0,0.0484218762532908,0.0007067064718556139,0.2200497131406692,
Pythia WW no shoving,no_shoving,thrust,rapidity_gap,abs_delta_eta_gt_1p0,1.0,20_25,"[20,25)",850938.0,186726272.0,0.041808312421372465,0.00046451226267512583,0.20447081068302259,
Pythia WW no shoving,no_shoving,thrust,rapidity_gap,abs_delta_eta_gt_1p0,1.0,25_30,"[25,30)",1494237.0,466096474.0,0.03721546710421074,0.0002672793776213845,0.19291310765267025,
Pythia WW no shoving,no_shoving,thrust,rapidity_gap,abs_delta_eta_gt_1p0,1.0,30_35,"[30,35)",1347367.0,569168528.0,0.035804289111089564,0.00020006212698665964,0.18922021327302632,
Pythia WW no shoving,no_shoving,thrust,rapidity_gap,abs_delta_eta_gt_1p0,1.0,35_40,"[35,40)",735557.0,404683572.0,0.035405035682941954,0.0002832544278302706,0.18816225892282956,
Pythia WW no shoving,no_shoving,thrust,rapidity_gap,abs_delta_eta_gt_1p0,1.0,40_999,"[40,inf)",357425.0,265199816.0,0.03328946464382074,0.00036443197272706905,0.1824540069272822,
Pythia WW no shoving,no_shoving,beam,rapidity_gap,abs_delta_eta_gt_1p6,1.6,0_10,"[0,10)",160.0,3296.0,0.11765129018810462,0.03956461196347666,0.3430033384503781,
