technique,case,label,axis,observable,multiplicity_bin,no_shoving,no_shoving_err,shoving,shoving_err,shoving2x,shoving2x_err,shoving_over_no_shoving,shoving2x_over_no_shoving,delta_shoving_over_sigma,delta_shoving2x_over_sigma,effect_scale_2x_over_nominal
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,beam,v2{2},0_10,0.7407454464,0.0002873146544,0.7415761406,0.0002419531055,0.742068156,0.0002787508865,1.0011214300459588,1.0017856466164299,2.2115231909658593,3.304175385902574,1.5922942522049244
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,beam,v2{2},10_15,0.7312918598,0.0001648743297,0.7331932833,0.0001334411945,0.7348161982,0.0001328819561,1.002600088425051,1.0048193321897003,8.964382775207033,16.643290282908143,1.853526265979144
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,beam,v2{2},15_20,0.6895796094,0.0001655379161,0.6920030718,0.0001656363579,0.6942619199,0.0001376770762,1.0035144055406577,1.0067900941909724,10.34891146939416,21.74697722230973,1.932074745620138
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,beam,v2{2},20_25,0.6294459853,0.0001792965518,0.6324309065,0.0001859723016,0.6358123527,0.000160591297,1.0047421403419983,1.010114239424318,11.554807301882665,26.449311882537568,2.1328427028492327
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,beam,v2{2},25_30,0.5659482151,0.0005851130421,0.5694043646,0.0004623424637,0.5735010848,0.0004331844472,1.0061068299321154,1.0133455137740215,4.63456643572912,10.374605324839898,2.18534230073092
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,beam,v2{2},30_35,0.5052439352,0.001289660822,0.5134032028,0.001196149362,0.5138026477,0.001128500555,1.0161491648519643,1.0169397629614534,4.638645026875522,4.994313461495578,1.0489559749210813
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,beam,v2{2},35_40,0.4585333649,0.002573261921,0.4555756354,0.005839454459,0.4624838187,0.003664380717,0.9935495871698561,1.0086154118814483,-0.46350000235985267,0.8822602206140527,-1.3356372852892624
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,beam,v2{2},40_999,0.442246246,0.022011926,0.4293102555,0.01662608797,0.3813807632,0.01992062318,0.9707493492211576,0.8623719627910645,-0.4689441751247313,-2.050195899084917,4.705127357661562
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,beam,v2{4},0_10,0.7161531217,0.0003805745146,0.7168630217,0.0002754567537,0.717383802,0.0004057594853,1.0009912684571072,1.0017184597297832,1.5110639379860853,2.2122314067351763,1.733596703760927
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,beam,v2{4},10_15,0.7094266286,0.000178182221,0.7115503594,0.000155181756,0.7131392197,0.0001503979898,1.0029935876585165,1.0052332277226843,8.988030917214681,15.922219493018938,1.7481458101940655
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,beam,v2{4},15_20,0.6596249931,0.0002067607662,0.6622103302,0.0002048069058,0.6646309311,0.0001752973928,1.0039194043995359,1.0075890665944507,8.883539302668478,18.467294937321725,1.936280572463875
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,beam,v2{4},20_25,0.5850757087,0.0002919435724,0.5881469259,0.000235605996,0.591573317,0.00023962351,1.0052492645897468,1.0111055854881368,8.186529908424465,17.20350406108829,2.1156459725480117
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,beam,v2{4},25_30,0.505665465,0.0007657254413,0.5089102364,0.0007478854526,0.5135741952,0.0006838319289,1.006416834101969,1.015640241913693,3.0314799116260485,7.703611533531897,2.437376697785248
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,beam,v2{4},30_35,0.4302439543,0.001896954744,0.4406765239,0.002011678852,0.4408408482,0.001518174122,1.0242480329955446,1.0246299658463325,3.773065411320977,4.361456326771647,1.0157510859069676
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,beam,v2{4},35_40,0.3679220761,0.004454415427,0.3674095527,0.009217276054,0.3678643621,0.007641595705,0.9986069783976194,0.9998431352621953,-0.05006486717368584,-0.006524968305393421,0.11260754143124829
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,beam,v2{4},40_999,0.3605757071,0.03202776913,0.3455323686,0.02731631935,0.297063575,0.03804094203,0.9582796671994657,0.8238590929743754,-0.3573693950449302,-1.2771860957632093,4.221943958782815
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,beam,v2{6},0_10,0.7133115718,0.0004001167108,0.714079736,0.0002917488926,0.7145413001,0.0004269989102,1.0010768985536873,1.0017239707704402,1.5512588325814585,2.1014965708560127,1.6008664553752134
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,beam,v2{6},10_15,0.7072298203,0.0001844588522,0.7094117178,0.0001587943008,0.7109817744,0.0001566097427,1.0030851322121492,1.005305141260034,8.964462622710801,15.505573631692787,1.7195831151555008
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,beam,v2{6},15_20,0.6564492658,0.0002141113719,0.6590787558,0.0002133735991,0.6615197992,0.0001786387905,1.0040056256240846,1.007724181691057,8.698913726362601,18.18394448502904,1.9283334030553656
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,beam,v2{6},20_25,0.5800396163,0.00031135525,0.5831322471,0.0002473763769,0.5865675504,0.0002529898868,1.0053317578887586,1.0112542900804617,7.776982190404869,16.271803914811173,2.11080291252353
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,beam,v2{6},25_30,0.4981951,0.0008198545604,0.5014399748,0.0008187372582,0.5063187764,0.0007379667533,1.0065132611701721,1.016306214974816,2.8005418014869745,7.364627587930658,2.503540783761504
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,beam,v2{6},30_35,0.4197718353,0.002208345385,0.4307455491,0.002361807442,0.431064955,0.001768527047,1.0261420916726283,1.0269029952710598,3.393854307695598,3.991603952144041,1.029106454370991
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,beam,v2{6},35_40,0.3523454797,0.005958584918,0.3531669455,0.009803210058,0.3512374452,0.009947156025,1.0023314214239372,0.9968552612028869,0.07160591535010159,-0.09555905236626429,-1.348850432970007
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,beam,v2{6},40_999,0.3443392136,0.03874242937,0.3250388014,0.03902899316,0.2881534144,0.04607357372,0.9439494212749749,0.8368300879455802,-0.3509607837387077,-0.9333562647638964,2.9111191314349254
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,beam,v2{8},0_10,0.7128068743,0.000402808171,0.71359256,0.0002944656256,0.71404441,0.0004324994742,1.0011022420354343,1.0017361444517707,1.5746360846594447,2.093881459417503,1.5751027414650647
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,beam,v2{8},10_15,0.7068658988,0.0001851852855,0.7090567102,0.0001596132942,0.7106239502,0.0001573304378,1.0030993310099119,1.0053164983717278,8.961142577585482,15.465565171044537,1.715369657105078
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,beam,v2{8},15_20,0.6559140264,0.0002154608788,0.6585513516,0.0002146768435,0.6609964923,0.0001791900676,1.00402083976535,1.0077486769537394,8.671024829893879,18.13634811699069,1.9271290093462792
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,beam,v2{8},20_25,0.5791500019,0.0003167952536,0.5822479975,0.0002494572853,0.58568597,0.000256525256,1.005349211067662,1.0112854495010923,7.683097160126507,16.033963114280546,2.1097409240994343
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,beam,v2{8},25_30,0.4967577867,0.0008362201105,0.50000874,0.0008366770621,0.504947011,0.0007526252166,1.0065443429112533,1.0164853466201338,2.748251447423302,7.279069539882236,2.5190224356652675
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,beam,v2{8},30_35,0.4174979937,0.002329341614,0.4285756776,0.002486879244,0.4289367062,0.001868151654,1.026533502117761,1.0273982454349697,3.2510628371430053,3.8308612855035733,1.0325906212218274
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,beam,v2{8},35_40,0.3480554739,0.006915581065,0.3494937061,0.009960515042,0.3471129559,0.01132427331,1.0041321924458892,0.9972920466113089,0.11860841761868111,-0.07103196739293512,-0.6553308985850846
