technique,case,label,axis,observable,multiplicity_bin,no_shoving,no_shoving_err,shoving,shoving_err,shoving_over_no_shoving,delta_over_sigma
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,beam,v2{2},0_10,0.7407454464,0.0002873146544,0.7415761406,0.0002419531055,1.0011214300459588,2.2115231909658593
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,beam,v2{2},10_15,0.7312918598,0.0001648743297,0.7331932833,0.0001334411945,1.002600088425051,8.964382775207033
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,beam,v2{2},15_20,0.6895796094,0.0001655379161,0.6920030718,0.0001656363579,1.0035144055406577,10.34891146939416
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,beam,v2{2},20_25,0.6294459853,0.0001792965518,0.6324309065,0.0001859723016,1.0047421403419983,11.554807301882665
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,beam,v2{2},25_30,0.5659482151,0.0005851130421,0.5694043646,0.0004623424637,1.0061068299321154,4.63456643572912
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,beam,v2{2},30_35,0.5052439352,0.001289660822,0.5134032028,0.001196149362,1.0161491648519643,4.638645026875522
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,beam,v2{2},35_40,0.4585333649,0.002573261921,0.4555756354,0.005839454459,0.9935495871698561,-0.46350000235985267
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,beam,v2{2},40_999,0.442246246,0.022011926,0.4293102555,0.01662608797,0.9707493492211576,-0.4689441751247313
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,beam,v2{4},0_10,0.7161531217,0.0003805745146,0.7168630217,0.0002754567537,1.0009912684571072,1.5110639379860853
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,beam,v2{4},10_15,0.7094266286,0.000178182221,0.7115503594,0.000155181756,1.0029935876585165,8.988030917214681
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,beam,v2{4},15_20,0.6596249931,0.0002067607662,0.6622103302,0.0002048069058,1.0039194043995359,8.883539302668478
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,beam,v2{4},20_25,0.5850757087,0.0002919435724,0.5881469259,0.000235605996,1.0052492645897468,8.186529908424465
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,beam,v2{4},25_30,0.505665465,0.0007657254413,0.5089102364,0.0007478854526,1.006416834101969,3.0314799116260485
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,beam,v2{4},30_35,0.4302439543,0.001896954744,0.4406765239,0.002011678852,1.0242480329955446,3.773065411320977
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,beam,v2{4},35_40,0.3679220761,0.004454415427,0.3674095527,0.009217276054,0.9986069783976194,-0.05006486717368584
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,beam,v2{4},40_999,0.3605757071,0.03202776913,0.3455323686,0.02731631935,0.9582796671994657,-0.3573693950449302
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,beam,v2{6},0_10,0.7133115718,0.0004001167108,0.714079736,0.0002917488926,1.0010768985536873,1.5512588325814585
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,beam,v2{6},10_15,0.7072298203,0.0001844588522,0.7094117178,0.0001587943008,1.0030851322121492,8.964462622710801
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,beam,v2{6},15_20,0.6564492658,0.0002141113719,0.6590787558,0.0002133735991,1.0040056256240846,8.698913726362601
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,beam,v2{6},20_25,0.5800396163,0.00031135525,0.5831322471,0.0002473763769,1.0053317578887586,7.776982190404869
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,beam,v2{6},25_30,0.4981951,0.0008198545604,0.5014399748,0.0008187372582,1.0065132611701721,2.8005418014869745
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,beam,v2{6},30_35,0.4197718353,0.002208345385,0.4307455491,0.002361807442,1.0261420916726283,3.393854307695598
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,beam,v2{6},35_40,0.3523454797,0.005958584918,0.3531669455,0.009803210058,1.0023314214239372,0.07160591535010159
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,beam,v2{6},40_999,0.3443392136,0.03874242937,0.3250388014,0.03902899316,0.9439494212749749,-0.3509607837387077
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,beam,v2{8},0_10,0.7128068743,0.000402808171,0.71359256,0.0002944656256,1.0011022420354343,1.5746360846594447
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,beam,v2{8},10_15,0.7068658988,0.0001851852855,0.7090567102,0.0001596132942,1.0030993310099119,8.961142577585482
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,beam,v2{8},15_20,0.6559140264,0.0002154608788,0.6585513516,0.0002146768435,1.00402083976535,8.671024829893879
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,beam,v2{8},20_25,0.5791500019,0.0003167952536,0.5822479975,0.0002494572853,1.005349211067662,7.683097160126507
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,beam,v2{8},25_30,0.4967577867,0.0008362201105,0.50000874,0.0008366770621,1.0065443429112533,2.748251447423302
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,beam,v2{8},30_35,0.4174979937,0.002329341614,0.4285756776,0.002486879244,1.026533502117761,3.2510628371430053
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,beam,v2{8},35_40,0.3480554739,0.006915581065,0.3494937061,0.009960515042,1.0041321924458892,0.11860841761868111
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,beam,v2{8},40_999,0.3421147057,0.04105994406,0.3194786538,0.04740322557,0.9338349053026398,-0.36094376736946504
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,thrust,v2{2},0_10,0.2719364248,0.0007992006486,0.2749016954,0.0007607127212,1.0109042788298066,2.6874890176868056
baseline,nominal_pt04,Nominal charged pT>0.4 GeV,thrust,v2{2},10_15,0.3130635155,0.0002530444936,0.317751664,0.0002378684194,1.0149750714084727,13.499089559794978
