axis,multiplicity_bin,quantity,noshoving,noshoving_err,shoving,shoving_err,shoving2x,shoving2x_err,shoving_over_noshoving,shoving_over_noshoving_err,shoving2x_over_noshoving,shoving2x_over_noshoving_err
thrust,0_10,hV2_2,0.3906730512,0.0002927063366,0.3957037202,0.0002609543313,0.400977739,0.000229294952,1.012876929,0.001010978037,1.026376756,0.0009673867476
thrust,10_15,hV2_2,0.3948118534,0.0003432128305,0.4025629826,0.0002773071359,0.4093109018,0.0003011057025,1.019632463,0.001130925973,1.036723944,0.00118061977
thrust,15_20,hV2_2,0.3718174385,0.001054335775,0.3818812606,0.00147433444,0.389107949,0.0009278516315,1.027066568,0.004919841673,1.046502689,0.003877276885
thrust,20_25,hV2_2,0.3276698982,0.00886854967,0.3340777934,0.01021681098,0.3680561373,0.008944712323,1.019555947,0.04163744731,1.12325282,0.04085856654
thrust,25_30,hV2_2,0,0,0,0,0,0,0,0,0,0
thrust,30_35,hV2_2,0,0,0,0,0,0,0,0,0,0
thrust,35_40,hV2_2,0,0,0,0,0,0,0,0,0,0
thrust,40_999,hV2_2,0,0,0,0,0,0,0,0,0,0
thrust,0_10,hV2_4,0.2024852507,0.003831457984,0.2065981687,0.004211555053,0.2068649215,0.004431389547,1.020312186,0.02837874023,1.021629579,0.02920030197
thrust,10_15,hV2_4,0.3078568159,0.0009977314086,0.3149736569,0.0008147563845,0.3189644377,0.001357446186,1.023117374,0.004242501898,1.03608048,0.005542319648
thrust,15_20,hV2_4,0.3000783114,0.002040985778,0.3110849606,0.003044573529,0.3192035491,0.002963522345,1.036679256,0.01235541507,1.063734156,0.01224243545
thrust,20_25,hV2_4,0.2299167908,0.04236059216,0.2712495107,0.02295279971,0.3437873964,0.01514175017,1.179772516,0.2391939585,1.495268767,0.2832553897
thrust,25_30,hV2_4,0,0,0,0,0,0,0,0,0,0
thrust,30_35,hV2_4,0,0,0,0,0,0,0,0,0,0
thrust,35_40,hV2_4,0,0,0,0,0,0,0,0,0,0
thrust,40_999,hV2_4,0,0,0,0,0,0,0,0,0,0
thrust,0_10,hV2_6,0,0,0,0,0,0,0,0,0,0
thrust,10_15,hV2_6,0.2552836141,0.004372346839,0.2711261448,0.002344776964,0.2782141111,0.0029908317,1.062058549,0.02037771876,1.089823615,0.02203797309
thrust,15_20,hV2_6,0.2865917298,0.003695449692,0.291249001,0.004845021763,0.3037900742,0.003516134777,1.016250543,0.02138963581,1.060009912,0.01836695173
thrust,20_25,hV2_6,0.2361303369,0.04559915648,0.2374989688,0.04918523231,0.3410778682,0.01782195916,1.005796087,0.2848028866,1.444447472,0.2889681165
thrust,25_30,hV2_6,0,0,0,0,0,0,0,0,0,0
thrust,30_35,hV2_6,0,0,0,0,0,0,0,0,0,0
thrust,35_40,hV2_6,0,0,0,0,0,0,0,0,0,0
thrust,40_999,hV2_6,0,0,0,0,0,0,0,0,0,0
thrust,0_10,hV2_8,0,0,0,0,0,0,0,0,0,0
thrust,10_15,hV2_8,0,0,0,0,0,0,0,0,0,0
thrust,15_20,hV2_8,0.2834118841,0.004563765694,0.2860882802,0.00686805979,0.2947696847,0.004159416103,1.009443486,0.02918026002,1.040075245,0.0222687268
thrust,20_25,hV2_8,0,0,0,0,0.3366076517,0.0197268355,0,0,0,0
thrust,25_30,hV2_8,0,0,0,0,0,0,0,0,0,0
thrust,30_35,hV2_8,0,0,0,0,0,0,0,0,0,0
thrust,35_40,hV2_8,0,0,0,0,0,0,0,0,0,0
thrust,40_999,hV2_8,0,0,0,0,0,0,0,0,0,0
