axis,multiplicity_bin,quantity,noshoving,noshoving_err,shoving,shoving_err,shoving2x,shoving2x_err,shoving_over_noshoving,shoving_over_noshoving_err,shoving2x_over_noshoving,shoving2x_over_noshoving_err
beam,0_10,hV2_2,0.704757444,0.0001694007875,0.7068178775,9.433240085e-05,0.7088733294,0.0001320020902,1.002923607,0.0002757370473,1.005840145,0.0003058352281
beam,10_15,hV2_2,0.610419832,0.000175052117,0.6136052833,0.0002257181279,0.6170311673,0.0002278591034,1.00521846,0.0004688637401,1.0108308,0.0004726202574
beam,15_20,hV2_2,0.4969186735,0.001420985699,0.5041270683,0.001081330361,0.5047510307,0.0008822626774,1.014506186,0.003626503373,1.015761849,0.003404316491
beam,20_25,hV2_2,0.4081685272,0.007938977505,0.4073337785,0.008801816726,0.3881060279,0.008639943665,0.997954892,0.02901344099,0.9508475103,0.02810876841
beam,25_30,hV2_2,0.3984861123,0.1632545185,0.3761937407,0.1144489407,0,0,0.9440573436,0.4817453737,0,0
beam,30_35,hV2_2,0,0,0,0,0,0,0,0,0,0
beam,35_40,hV2_2,0,0,0,0,0,0,0,0,0,0
beam,40_999,hV2_2,0,0,0,0,0,0,0,0,0,0
beam,0_10,hV2_4,0.692092122,0.0001782742169,0.6941345682,0.0001018118539,0.6959331462,0.0001293583831,1.002951119,0.0002972945536,1.005549874,0.0003194132869
beam,10_15,hV2_4,0.5755528808,0.0002319032088,0.5787548661,0.0002706296833,0.5821260349,0.0002665540449,1.005563321,0.0006206880795,1.011420591,0.0006168974554
beam,15_20,hV2_4,0.4294127721,0.002231876356,0.4389057919,0.0014969353,0.438419634,0.001388997031,1.02210698,0.00635404809,1.020974835,0.006214669958
beam,20_25,hV2_4,0.3191377384,0.02408260598,0.309657112,0.02230744808,0.3089279906,0.0187442914,0.9702929948,0.101227558,0.9680083343,0.09373162348
beam,25_30,hV2_4,0.4155310895,0.1412257301,0.3848722623,0.07986115129,0,0,0.9262177297,0.3688239152,0,0
beam,30_35,hV2_4,0,0,0,0,0,0,0,0,0,0
beam,35_40,hV2_4,0,0,0,0,0,0,0,0,0,0
beam,40_999,hV2_4,0,0,0,0,0,0,0,0,0,0
beam,0_10,hV2_6,0.6909247087,0.0001768576651,0.6929978804,0.0001082974387,0.6948146311,0.0001372880155,1.003000576,0.0003008055228,1.005630024,0.000325183266
beam,10_15,hV2_6,0.5702507317,0.0002453799032,0.5735248491,0.0002893205359,0.5769401292,0.0002750191231,1.00574154,0.0006668603741,1.011730625,0.0006497082465
beam,15_20,hV2_6,0.4191707915,0.002452064386,0.4295287169,0.001663186509,0.4293369465,0.001457827635,1.024710513,0.007188579342,1.024253014,0.00692790208
beam,20_25,hV2_6,0.3017206718,0.038895115,0.2627943072,0.05570625839,0.3028922422,0.02511834171,0.8709854236,0.2160889204,1.003882963,0.1538764687
beam,25_30,hV2_6,0.4128870705,0.1416158325,0.3805409132,0.07711049377,0,0,0.9216585851,0.3671651568,0,0
beam,30_35,hV2_6,0,0,0,0,0,0,0,0,0,0
beam,35_40,hV2_6,0,0,0,0,0,0,0,0,0,0
beam,40_999,hV2_6,0,0,0,0,0,0,0,0,0,0
beam,0_10,hV2_8,0.6907137598,0.0001781150388,0.692787362,0.0001088152124,0.6946083287,0.0001381003623,1.003002115,0.00030284689,1.00563847,0.0003274521387
beam,10_15,hV2_8,0.5693042528,0.0002475556584,0.572594705,0.0002895175617,0.5760098283,0.0002791126351,1.005779778,0.000670743081,1.011778545,0.0006587334991
beam,15_20,hV2_8,0.4170498534,0.002535915827,0.4278723907,0.001762409318,0.4276083906,0.001517849311,1.025950224,0.007534973126,1.025317206,0.007219107261
beam,20_25,hV2_8,0.3050235871,0.04135781141,0,0,0.3082039314,0.02360190683,0,0,1.010426552,0.1573434691
beam,25_30,hV2_8,0.4129907345,0.1416587474,0.3809928897,0.07682467553,0,0,0.9225216401,0.3670591682,0,0
beam,30_35,hV2_8,0,0,0,0,0,0,0,0,0,0
beam,35_40,hV2_8,0,0,0,0,0,0,0,0,0,0
beam,40_999,hV2_8,0,0,0,0,0,0,0,0,0,0
