axis,multiplicity_bin,quantity,noshoving,noshoving_err,shoving,shoving_err,shoving2x,shoving2x_err,shoving_over_noshoving,shoving_over_noshoving_err,shoving2x_over_noshoving,shoving2x_over_noshoving_err
thrust,0_10,hV2_2,0.3910287712,0.0002485713299,0.395654336,0.0002203147198,0.4008292151,0.0002580200634,1.011829219,0.0008550781993,1.02506323,0.0009273655912
thrust,10_15,hV2_2,0.3949036067,0.00036380324,0.4023403472,0.000273141808,0.4087641108,0.0003197995839,1.018831787,0.001165917106,1.035098449,0.001251046779
thrust,15_20,hV2_2,0.3697572559,0.00145080408,0.3821505701,0.001441356701,0.3884277891,0.00130598613,1.033517433,0.005624924314,1.050494028,0.005428096097
thrust,20_25,hV2_2,0.336248009,0.0104680025,0.3357715308,0.009927234357,0.3576698461,0.01613709804,0.9985829561,0.04287287552,1.063708443,0.05830790575
thrust,25_30,hV2_2,0.3439739422,0.2016224178,0.2402926639,0.1219042395,0,0,0.6985781028,0.5415436587,0,0
thrust,30_35,hV2_2,0,0,0,0,0,0,0,0,0,0
thrust,35_40,hV2_2,0,0,0,0,0,0,0,0,0,0
thrust,40_999,hV2_2,0,0,0,0,0,0,0,0,0,0
thrust,0_10,hV2_4,0.2115208659,0.004138012208,0.2041252995,0.003553976867,0.195605651,0.007388186908,0.9650362321,0.02527310018,0.9247581802,0.03933595299
thrust,10_15,hV2_4,0.3084388074,0.001077202806,0.3140676587,0.001023374171,0.3202882874,0.0008487405759,1.018249491,0.004863632678,1.038417604,0.004552395122
thrust,15_20,hV2_4,0.3062429329,0.002823814247,0.3099333446,0.002460713573,0.3188321767,0.001924339251,1.012050602,0.01231459189,1.041108684,0.01147356688
thrust,20_25,hV2_4,0.267242343,0.03523823148,0.2596263982,0.0293599946,0.2388570852,0.04744339363,0.9715017287,0.1687592809,0.8937845797,0.2130871001
thrust,25_30,hV2_4,0.3538467506,0.1679900078,0.332372616,0.09936120008,0,0,0.9393123307,0.5269861862,0,0
thrust,30_35,hV2_4,0,0,0,0,0,0,0,0,0,0
thrust,35_40,hV2_4,0,0,0,0,0,0,0,0,0,0
thrust,40_999,hV2_4,0,0,0,0,0,0,0,0,0,0
thrust,0_10,hV2_6,0,0,0,0,0,0,0,0,0,0
thrust,10_15,hV2_6,0.2663929425,0.002801940848,0.271168673,0.002989908398,0.2811313914,0.003203183613,1.017927391,0.01551138259,1.055325974,0.01636439048
thrust,15_20,hV2_6,0.2902382129,0.004029099156,0.290648769,0.003879828288,0.3015437081,0.0035500654,1.001414549,0.01928608548,1.03895247,0.01891104558
thrust,20_25,hV2_6,0.2430446142,0.05842582272,0,0,0,0,0,0,0,0
thrust,25_30,hV2_6,0.3547170153,0.1673046741,0,0,0,0,0,0,0,0
thrust,30_35,hV2_6,0,0,0,0,0,0,0,0,0,0
thrust,35_40,hV2_6,0,0,0,0,0,0,0,0,0,0
thrust,40_999,hV2_6,0,0,0,0,0,0,0,0,0,0
thrust,0_10,hV2_8,0,0,0,0,0,0,0,0,0,0
thrust,10_15,hV2_8,0,0,0.1989770035,0.03558282033,0.2226256683,0.01908013798,0,0,0,0
thrust,15_20,hV2_8,0.2861177187,0.00492595111,0.2828773759,0.004812923194,0.2993890219,0.00467125822,0.9886747915,0.02393104509,1.046384066,0.02431240903
thrust,20_25,hV2_8,0,0,0,0,0,0,0,0,0,0
thrust,25_30,hV2_8,0.3555834062,0.1669631542,0,0,0,0,0,0,0,0
thrust,30_35,hV2_8,0,0,0,0,0,0,0,0,0,0
thrust,35_40,hV2_8,0,0,0,0,0,0,0,0,0,0
thrust,40_999,hV2_8,0,0,0,0,0,0,0,0,0,0
