axis,multiplicity_bin,quantity,noshoving,noshoving_err,shoving,shoving_err,shoving2x,shoving2x_err,shoving_over_noshoving,shoving_over_noshoving_err,shoving2x_over_noshoving,shoving2x_over_noshoving_err
beam,0_10,hV2_2,0.4425728702,0.0001880014064,0.4465631932,0.000160737109,0.4506728547,0.0001554283223,1.009016194,0.000561802684,1.018302036,0.0005571804569
beam,10_15,hV2_2,0.3728065306,0.0003688851488,0.3791268141,0.0002937716201,0.3843359037,0.0004169167985,1.016953253,0.001278083028,1.030925888,0.001513672952
beam,15_20,hV2_2,0.3177477033,0.001304744341,0.3261398169,0.001147277214,0.3337632709,0.001321974491,1.026411248,0.005549805203,1.050403409,0.005992747758
beam,20_25,hV2_2,0.2750288592,0.003808782738,0.2895753064,0.004860814377,0.2967161847,0.004698143482,1.052890621,0.02291230597,1.078854727,0.02269430943
beam,25_30,hV2_2,0.2436139203,0.02391125978,0.2580555266,0.01732656855,0.2608606243,0.02225119105,1.059280711,0.1259699144,1.070795232,0.1392437948
beam,30_35,hV2_2,0,0,0.3025305017,0.02700875767,0,0,0,0,0,0
beam,35_40,hV2_2,0,0,0,0,0,0,0,0,0,0
beam,40_999,hV2_2,0,0,0,0,0,0,0,0,0,0
beam,0_10,hV2_4,0.4183089745,0.0003975380109,0.421647545,0.0003670697466,0.4246068978,0.0003658687815,1.007981111,0.001299096509,1.015055673,0.001302131865
beam,10_15,hV2_4,0.3109569068,0.0008922949644,0.3167574836,0.0009604187779,0.3210426142,0.0007098958518,1.018653957,0.004252477476,1.032434421,0.003740149582
beam,15_20,hV2_4,0.2358664878,0.003746769683,0.2425481554,0.002852984464,0.2504379196,0.003748313978,1.028328177,0.02032593813,1.061778305,0.02317377251
beam,20_25,hV2_4,0,0,0,0,0.1718157686,0.02692181199,0,0,0,0
beam,25_30,hV2_4,0,0,0.2191998444,0.03588931097,0.2384162618,0.03724822235,0,0,0,0
beam,30_35,hV2_4,0,0,0.3377681023,0.01128660517,0,0,0,0,0,0
beam,35_40,hV2_4,0,0,0,0,0,0,0,0,0,0
beam,40_999,hV2_4,0,0,0,0,0,0,0,0,0,0
beam,0_10,hV2_6,0.4183766567,0.0004004653026,0.4219016716,0.0003875976411,0.4251835982,0.0003674460985,1.008425458,0.00133790527,1.016269888,0.001310578927
beam,10_15,hV2_6,0.3022559662,0.001373696871,0.3075735083,0.001130108435,0.3117694018,0.0007893532994,1.017592844,0.005947096198,1.031474765,0.005366206145
beam,15_20,hV2_6,0.2224445414,0.006500084326,0.2263139677,0.00500823746,0.2347213905,0.005117848798,1.017395016,0.03729269059,1.055190606,0.03847160004
beam,20_25,hV2_6,0,0,0,0,0,0,0,0,0,0
beam,25_30,hV2_6,0,0,0.2097903796,0.06297157262,0.2347203166,0.04408824844,0,0,0,0
beam,30_35,hV2_6,0,0,0.3349579758,0.009390834445,0,0,0,0,0,0
beam,35_40,hV2_6,0,0,0,0,0,0,0,0,0,0
beam,40_999,hV2_6,0,0,0,0,0,0,0,0,0,0
beam,0_10,hV2_8,0.4184405717,0.0003907044316,0.4220358562,0.0004409770193,0.4253616461,0.0003949800516,1.008592103,0.001413325017,1.016540161,0.001338623796
beam,10_15,hV2_8,0.2998061024,0.001527838628,0.3050268358,0.001346850095,0.3091929814,0.0008161005419,1.0174137,0.006860332663,1.031309833,0.005918751757
beam,15_20,hV2_8,0.2216276475,0.007705837758,0.2227394449,0.006315527957,0.2284731959,0.008610756249,1.00501651,0.04508982492,1.03088761,0.05286060275
beam,20_25,hV2_8,0,0,0.1975609814,0.03615644093,0,0,0,0,0,0
beam,25_30,hV2_8,0,0,0.217196222,0.03521569189,0.2399099082,0.03939942144,0,0,0,0
beam,30_35,hV2_8,0,0,0.334760442,0.00922484235,0,0,0,0,0,0
beam,35_40,hV2_8,0,0,0,0,0,0,0,0,0,0
beam,40_999,hV2_8,0,0,0,0,0,0,0,0,0,0
