axis,multiplicity_bin,quantity,data,data_err,mc,mc_err,data_over_mc,data_over_mc_err
beam,0_10,hV2_2,0.5997383939,0.0002511233441,0.6024757915,0.0001746650938,0.995456419,0.0005069764524
beam,10_15,hV2_2,0.5438068869,0.0002214228421,0.547510157,0.0002052678737,0.9932361618,0.0005497430294
beam,15_20,hV2_2,0.4841261104,0.0002828723922,0.4882419398,0.0003264162016,0.9915701025,0.0008804144149
beam,20_25,hV2_2,0.432532185,0.0007663328212,0.437710874,0.0005972003961,0.9881686992,0.00220973586
beam,25_30,hV2_2,0.3887630805,0.002018529302,0.39854753,0.001565473845,0.9754497301,0.006350735401
beam,30_35,hV2_2,0.3618652258,0.005233122598,0.3611347627,0.004815963009,1.002022688,0.01971146865
beam,35_40,hV2_2,0.33509055,0.02289979443,0.3500867421,0.01340915834,0.957164353,0.07498519088
beam,40_999,hV2_2,0.2885710573,0.04526785941,0.3256940485,0.1167313908,0.8860188224,0.3466409436
beam,0_10,hV2_4,0.5788580905,0.0002274071087,0.5815576553,0.0001603245817,0.9953580444,0.0004777044498
beam,10_15,hV2_4,0.5035368679,0.0002561931209,0.5070721628,0.0002348656695,0.993028024,0.0006832437769
beam,15_20,hV2_4,0.4223386787,0.0004660844044,0.4272263328,0.0004913569881,0.9885595673,0.00157570307
beam,20_25,hV2_4,0.3531450812,0.001372642022,0.358715384,0.0008744447084,0.9844715253,0.004516834661
beam,25_30,hV2_4,0.2948768984,0.003836084561,0.307123378,0.003951858093,0.960125212,0.01756806188
beam,30_35,hV2_4,0.2411524253,0.01886699512,0.2413170303,0.01300785218,0.999317889,0.09494358094
beam,35_40,hV2_4,0.2700676745,0.03515382319,0.2452844947,0.04360964854,1.101038509,0.2426120559
beam,40_999,hV2_4,0.3183665863,0.03368280445,0,0,0,0
beam,0_10,hV2_6,0.5777987139,0.0002127913862,0.5806117964,0.0001557107625,0.9951549683,0.0004533718678
beam,10_15,hV2_6,0.4991943557,0.0002612703076,0.5027999732,0.0002303516854,0.9928289226,0.0006905844307
beam,15_20,hV2_6,0.4142569802,0.0005636937932,0.4193996512,0.0006170908293,0.987738018,0.001979551086
beam,20_25,hV2_6,0.3414161758,0.001762436813,0.3473309273,0.001015265234,0.9829708472,0.005831251547
beam,25_30,hV2_6,0.2776211342,0.005454569982,0.2921254168,0.005997109296,0.9503491247,0.02700521507
beam,30_35,hV2_6,0.1910862798,0.113789781,0,0,0,0
beam,35_40,hV2_6,0.2710890043,0.03653614868,0,0,0,0
beam,40_999,hV2_6,0.3183424656,0.03409764806,0,0,0,0
beam,0_10,hV2_8,0.5776397257,0.0002115388007,0.5804780125,0.000155303324,0.9951104318,0.0004513143395
beam,10_15,hV2_8,0.4983704602,0.0002609121023,0.5019869895,0.0002340871881,0.9927955715,0.0006960478342
beam,15_20,hV2_8,0.4125610076,0.0005968410874,0.4178113919,0.0006343946135,0.9874336018,0.002070864782
beam,20_25,hV2_8,0.3388635394,0.001914047956,0.3448673571,0.001108708182,0.9825909365,0.006386105331
beam,25_30,hV2_8,0.2718599914,0.007437619907,0.2877267628,0.0072283312,0.944854725,0.03509471272
beam,30_35,hV2_8,0,0,0,0,0,0
beam,35_40,hV2_8,0.2685038025,0.03862763421,0,0,0,0
beam,40_999,hV2_8,0.3183214054,0.03416642905,0,0,0,0
