axis,multiplicity_bin,quantity,noshoving,noshoving_err,shoving,shoving_err,shoving2x,shoving2x_err,shoving_over_noshoving,shoving_over_noshoving_err,shoving2x_over_noshoving,shoving2x_over_noshoving_err
thrust,0_10,hV2_2,0.5958142119,0.0002775465557,0.600606546,0.0002141167329,0.6049460507,0.000268231988,1.008043336,0.0005913082566,1.015326655,0.0006529719422
thrust,10_15,hV2_2,0.5827588243,0.0004773641432,0.5892367044,0.000603151544,0.5943963916,0.0004924984316,1.011115885,0.001325598268,1.019969783,0.001188396382
thrust,15_20,hV2_2,0.5677561382,0.00143342426,0.5745195849,0.001873472843,0.5814868991,0.001704075627,1.011912591,0.004173194238,1.024184258,0.003961662963
thrust,20_25,hV2_2,0.5786161114,0.01017521315,0.5683085279,0.009593446353,0.5695282229,0.01172936795,0.9821857993,0.02394208422,0.9842937514,0.02665595085
thrust,25_30,hV2_2,0.5595099398,0.1917009992,0.7953843703,0.02683752269,0.427680147,0.1089273297,1.421573262,0.4894199167,0.764383466,0.3263293494
thrust,30_35,hV2_2,0,0,0,0,0,0,0,0,0,0
thrust,35_40,hV2_2,0,0,0,0,0,0,0,0,0,0
thrust,40_999,hV2_2,0,0,0,0,0,0,0,0,0,0
thrust,0_10,hV2_4,0.5386927218,0.0006663957144,0.5440591279,0.0007457096289,0.5471942504,0.0007716711597,1.009961906,0.001864734291,1.015781777,0.001905525299
thrust,10_15,hV2_4,0.5342882294,0.0008774518088,0.5379677167,0.000674998395,0.5455482209,0.0007353930508,1.006886709,0.002080971881,1.021074751,0.002169432794
thrust,15_20,hV2_4,0.5150379828,0.002648373193,0.5225623986,0.002012763791,0.5289767058,0.002434722638,1.014609438,0.006518568629,1.027063485,0.007087928339
thrust,20_25,hV2_4,0.5187141657,0.01286075816,0.5185670918,0.01493391452,0.5058277307,0.01606339438,0.9997164644,0.0379901278,0.9751569634,0.03928810773
thrust,25_30,hV2_4,0.4536281617,0.3300992331,0.712354499,0.07589043274,0.4663679307,0.08349422811,1.570348932,1.154903547,1.028084167,0.7704324011
thrust,30_35,hV2_4,0,0,0,0,0,0,0,0,0,0
thrust,35_40,hV2_4,0,0,0,0,0,0,0,0,0,0
thrust,40_999,hV2_4,0,0,0,0,0,0,0,0,0,0
thrust,0_10,hV2_6,0.5267539644,0.0009538735113,0.5337023901,0.0006129071744,0.5355430332,0.0007523826828,1.013191027,0.002172585456,1.01668534,0.002330166548
thrust,10_15,hV2_6,0.524826533,0.0007989104149,0.5285572093,0.0009403717168,0.5365989451,0.0008071336604,1.007108399,0.002358119637,1.022431054,0.002188031082
thrust,15_20,hV2_6,0.5056943257,0.002674647094,0.51287512,0.001998843244,0.5211755761,0.002599553693,1.014199871,0.006663171226,1.03061385,0.007492566026
thrust,20_25,hV2_6,0.5034324756,0.01555640673,0.5049082069,0.0162009164,0.4936289009,0.01882107539,1.002931339,0.04467739309,0.9805265349,0.04812173485
thrust,25_30,hV2_6,0,0,0.6813992123,0.1290968424,0.4668486927,0.09770781044,0,0,0,0
thrust,30_35,hV2_6,0,0,0,0,0,0,0,0,0,0
thrust,35_40,hV2_6,0,0,0,0,0,0,0,0,0,0
thrust,40_999,hV2_6,0,0,0,0,0,0,0,0,0,0
thrust,0_10,hV2_8,0.5226275364,0.0008689010847,0.5305454453,0.0005706751777,0.5321184098,0.0008437065565,1.015150195,0.002010180266,1.018159918,0.002339137
thrust,10_15,hV2_8,0.5222167739,0.0008436479702,0.5260200419,0.0009711900489,0.5341673477,0.0007698632705,1.007282929,0.002471171245,1.022884316,0.002214504259
thrust,15_20,hV2_8,0.502713264,0.00287580022,0.5107487334,0.002053115741,0.5193275405,0.002548443537,1.0159842,0.007103444301,1.033049211,0.007786024203
thrust,20_25,hV2_8,0.4997348044,0.0167307704,0.5021694204,0.01632125017,0.4919713444,0.01987351026,1.004871816,0.04688790142,0.9844648402,0.05165085809
thrust,25_30,hV2_8,0,0,0,0,0.4653171184,0.09390721132,0,0,0,0
thrust,30_35,hV2_8,0,0,0,0,0,0,0,0,0,0
thrust,35_40,hV2_8,0,0,0,0,0,0,0,0,0,0
thrust,40_999,hV2_8,0,0,0,0,0,0,0,0,0,0
