axis,multiplicity_bin,quantity,data,data_err,mc,mc_err,data_over_mc,data_over_mc_err
thrust,0_10,hV2_2,0.5081739933,0.004543798022,0.5076359515,0.003977769812,1.001059897,0.01190166749
thrust,10_15,hV2_2,0.4848178017,0.0006229449965,0.4907939865,0.0006788768532,0.9878234352,0.00186494259
thrust,15_20,hV2_2,0.4626211665,0.0002788772812,0.4690980688,0.0004445195475,0.9861928607,0.001107590144
thrust,20_25,hV2_2,0.4318911324,0.0004957426034,0.4406937486,0.0004228175704,0.9800255478,0.00146613207
thrust,25_30,hV2_2,0.4007883168,0.0005445436093,0.4102277451,0.0005286466345,0.976989786,0.001829522771
thrust,30_35,hV2_2,0.3717402662,0.001082318514,0.3850603736,0.001507963048,0.965407743,0.004711070313
thrust,35_40,hV2_2,0.3522027058,0.003640394574,0.3530040651,0.003970268704,0.9977298864,0.01524051758
thrust,40_999,hV2_2,0.319178178,0.02554149447,0.3224601913,0.02426141631,0.9898219582,0.1087203948
thrust,0_10,hV2_4,0.4584170763,0.007687758931,0.4502326053,0.008151666396,1.018178317,0.02512752012
thrust,10_15,hV2_4,0.456626517,0.0008424991015,0.4577918083,0.0009608645475,0.9974545389,0.002787460246
thrust,15_20,hV2_4,0.4285220457,0.0003523455961,0.4346140839,0.0006658933091,0.9859828789,0.001714461918
thrust,20_25,hV2_4,0.3885542079,0.0005834735776,0.396454453,0.0005480319227,0.9800727548,0.002000358287
thrust,25_30,hV2_4,0.3472715419,0.0008168410022,0.3555382497,0.001199963953,0.9767487526,0.004018195709
thrust,30_35,hV2_4,0.3039233804,0.002943450596,0.3171249865,0.002819076069,0.9583709682,0.01259880808
thrust,35_40,hV2_4,0.2929961233,0.00762069088,0.2766686247,0.009264771456,1.059014638,0.0449035602
thrust,40_999,hV2_4,0,0,0.2273886742,0.05481188914,0,0
thrust,0_10,hV2_6,0.4631162954,0.008652838726,0.4603431649,0.007230297646,1.00602405,0.02455560816
thrust,10_15,hV2_6,0.4553090189,0.0009193689953,0.4578978374,0.00111573062,0.9943462968,0.00314666954
thrust,15_20,hV2_6,0.426249983,0.0003828108441,0.4329172924,0.000688953667,0.984599115,0.00179920137
thrust,20_25,hV2_6,0.3846399154,0.0005840898689,0.3926111896,0.0005703251891,0.9796967729,0.002058793849
thrust,25_30,hV2_6,0.3404208333,0.0009518269287,0.3496297292,0.001336628128,0.9736610043,0.004611595614
thrust,30_35,hV2_6,0.2929721301,0.003797467702,0.3082365246,0.00339633501,0.9504783071,0.01616986019
thrust,35_40,hV2_6,0.2838889024,0.008762049299,0.2664025566,0.01174220925,1.065638806,0.05734072877
thrust,40_999,hV2_6,0,0,0,0,0,0
thrust,0_10,hV2_8,0.4671092824,0.00832307432,0.4631790304,0.006520343801,1.008485384,0.02290089751
thrust,10_15,hV2_8,0.4548963373,0.0009046631498,0.4574153121,0.001099322897,0.9944930247,0.003102284016
thrust,15_20,hV2_8,0.4257149715,0.000370189283,0.4324032097,0.0006513571716,0.984532404,0.001712432607
thrust,20_25,hV2_8,0.3838503904,0.0005775179843,0.3918595677,0.0005858088341,0.9795611031,0.002077616884
thrust,25_30,hV2_8,0.3391774011,0.0009663299566,0.3485093378,0.001342863713,0.9732232807,0.004663750852
thrust,30_35,hV2_8,0.2904093445,0.00407616942,0.3059053747,0.003830178746,0.9493437137,0.0178561954
thrust,35_40,hV2_8,0.2815171621,0.009469506282,0.2669829753,0.01313145311,1.054438628,0.06283074633
thrust,40_999,hV2_8,0,0,0,0,0,0
