axis,multiplicity_bin,quantity,data,data_err,mc,mc_err,data_over_mc,data_over_mc_err
beam,0_10,hV2_2,0.5006737368,0.002381005808,0.5080501674,0.002356343642,0.9854809011,0.006546363257
beam,10_15,hV2_2,0.4912089497,0.0005929095674,0.4943112681,0.0005828550015,0.9937239578,0.001676800141
beam,15_20,hV2_2,0.4874332163,0.0003399453039,0.4901123106,0.0004317992693,0.9945337135,0.001117508865
beam,20_25,hV2_2,0.4839715982,0.0003203098079,0.4861062319,0.0002319934386,0.9956087096,0.0008123782169
beam,25_30,hV2_2,0.4747000989,0.0005787914604,0.4767914846,0.0006807492761,0.995613626,0.001869308151
beam,30_35,hV2_2,0.4540669355,0.001339610325,0.4631972232,0.001386469998,0.9802885526,0.004119962299
beam,35_40,hV2_2,0.4310256844,0.0027736906,0.4301270293,0.005625840027,1.002089278,0.01460726388
beam,40_999,hV2_2,0.4335915289,0.0233638523,0.4259910649,0.01648186945,1.017841839,0.06751984721
beam,0_10,hV2_4,0.4345546658,0.006271437465,0.4474680195,0.003757459001,0.9711412814,0.01621518577
beam,10_15,hV2_4,0.4344356919,0.0008805260302,0.4378970715,0.0008451192799,0.9920954492,0.002776579633
beam,15_20,hV2_4,0.4353533631,0.0006176726917,0.4367775903,0.0005285191515,0.9967392391,0.001858631727
beam,20_25,hV2_4,0.432776737,0.0004502391457,0.4341926401,0.0005195764895,0.996738998,0.00158048298
beam,25_30,hV2_4,0.4206472716,0.0007511821796,0.4218886049,0.0009146968928,0.9970576752,0.0028005891
beam,30_35,hV2_4,0.3923551161,0.0018963769,0.4015003788,0.002158558749,0.9772222813,0.007064770895
beam,35_40,hV2_4,0.3562107233,0.004419242123,0.3594140774,0.007427206567,0.9910872884,0.0238880338
beam,40_999,hV2_4,0.355171521,0.03194809458,0.3434966314,0.0271888144,1.033988367,0.1238907176
beam,0_10,hV2_6,0.429655763,0.007331869471,0.4410359829,0.004591314862,0.9741966181,0.01947350815
beam,10_15,hV2_6,0.4299186113,0.0008852862358,0.4332386322,0.0008715951886,0.9923367385,0.002856771178
beam,15_20,hV2_6,0.4310422349,0.0006378686518,0.4325426108,0.0005682051847,0.9965312645,0.001971909102
beam,20_25,hV2_6,0.4283008293,0.0004829799722,0.4296431947,0.0005036764499,0.9968756275,0.001621554662
beam,25_30,hV2_6,0.414954887,0.0008485431326,0.4163211198,0.0009602585539,0.9967183197,0.003072372014
beam,30_35,hV2_6,0.3846784819,0.002121445602,0.3938257276,0.00244577881,0.9767733669,0.008112602956
beam,35_40,hV2_6,0.3442896619,0.005280249339,0.3480153911,0.007718497329,0.9892943552,0.02667618009
beam,40_999,hV2_6,0.3414847767,0.03663132442,0.3239677593,0.03808324201,1.054070249,0.167744998
beam,0_10,hV2_8,0.4307741777,0.007749872081,0.4395734795,0.004518696428,0.9799821822,0.02030558481
beam,10_15,hV2_8,0.4293953491,0.0009323892181,0.4325358215,0.0008587776256,0.9927393935,0.002920912868
beam,15_20,hV2_8,0.4303575896,0.0006351404319,0.4318649193,0.0005881169899,0.9965097195,0.002001133005
beam,20_25,hV2_8,0.427536197,0.0005010906006,0.4288600649,0.0005049590754,0.996913054,0.001656214367
beam,25_30,hV2_8,0.4138845,0.0008789236436,0.4152590134,0.0009831953021,0.9966899853,0.003169961729
beam,30_35,hV2_8,0.382999644,0.002201375033,0.3921101991,0.002538111369,0.9767653198,0.008455393752
beam,35_40,hV2_8,0.3411774033,0.005797459794,0.3449262481,0.007802766434,0.9891314599,0.02798525195
beam,40_999,hV2_8,0.3401225874,0.03777037663,0.3189691706,0.04462097895,1.066318061,0.1904549575
