axis,multiplicity_bin,quantity,data,data_err,mc,mc_err,data_over_mc,data_over_mc_err,mc_over_data,mc_over_data_err
thrust,0_10,hV2TwoSub_2,0.1241766128,0.001786891369,0.1282039386,0.002021491693,0.9685865674,0.02067637857,1.032432241,0.0220392896
thrust,10_15,hV2TwoSub_2,0.1486617275,0.0007147922421,0.1547923014,0.0007876853607,0.9603948393,0.006723658819,1.041238415,0.007289639181
thrust,15_20,hV2TwoSub_2,0.1759222105,0.0005532117985,0.1813272043,0.0006471323748,0.9701920414,0.004614846985,1.030723772,0.004902774179
thrust,20_25,hV2TwoSub_2,0.1849837752,0.0008440110706,0.1919815738,0.0008592260289,0.9635496339,0.006158296186,1.037829256,0.006633036561
thrust,25_30,hV2TwoSub_2,0.1807989682,0.001276690445,0.1904384551,0.001147167646,0.9493826661,0.008811864646,1.05331605,0.009776540898
thrust,30_35,hV2TwoSub_2,0.1713398413,0.003712586112,0.1859717094,0.004360437443,0.9213220751,0.02941387971,1.085396765,0.03465208394
thrust,35_40,hV2TwoSub_2,0.1773729946,0.008636324783,0.161246388,0.01336082142,1.100012204,0.1057183175,0.9090808235,0.08736857171
thrust,40_999,hV2TwoSub_2,0.1547774683,0.05227104249,0.1279538538,0.05674901505,1.209635065,0.6743165442,0.8266956116,0.4608452119
thrust,0_10,hV2TwoSub_4,0,0,0,0,0,0,0,0
thrust,10_15,hV2TwoSub_4,0,0,0,0,0,0,0,0
thrust,15_20,hV2TwoSub_4,0,0,0,0,0,0,0,0
thrust,20_25,hV2TwoSub_4,0,0,0,0,0,0,0,0
thrust,25_30,hV2TwoSub_4,0,0,0,0,0,0,0,0
thrust,30_35,hV2TwoSub_4,0,0,0,0,0,0,0,0
thrust,35_40,hV2TwoSub_4,0.2184355337,0.05142852241,0,0,0,0,0,0
thrust,40_999,hV2TwoSub_4,0,0,0,0,0,0,0,0
thrust,0_10,hV2TwoSub_6,0.2202498036,0.08827970633,0,0,0,0,0,0
thrust,10_15,hV2TwoSub_6,0,0,0.2324597854,0.02468050932,0,0,0,0
thrust,15_20,hV2TwoSub_6,0.1907122048,0.02307101499,0,0,0,0,0,0
thrust,20_25,hV2TwoSub_6,0,0,0,0,0,0,0,0
thrust,25_30,hV2TwoSub_6,0,0,0,0,0,0,0,0
thrust,30_35,hV2TwoSub_6,0,0,0,0,0,0,0,0
thrust,35_40,hV2TwoSub_6,0,0,0.2670241694,0.06299474448,0,0,0,0
thrust,40_999,hV2TwoSub_6,0,0,0.2912089874,0.03440768977,0,0,0,0
thrust,0_10,hV2TwoSub_8,0.3221828111,0.04157155194,0,0,0,0,0,0
thrust,10_15,hV2TwoSub_8,0.277249078,0.01458155992,0,0,0,0,0,0
thrust,15_20,hV2TwoSub_8,0,0,0,0,0,0,0,0
thrust,20_25,hV2TwoSub_8,0.211296797,0.04787057529,0.2204765879,0.03038280208,0.9583638743,0.2541343749,1.043445007,0.2766957853
thrust,25_30,hV2TwoSub_8,0,0,0,0,0,0,0,0
thrust,30_35,hV2TwoSub_8,0,0,0,0,0,0,0,0
thrust,35_40,hV2TwoSub_8,0,0,0.2617273432,0.05073418584,0,0,0,0
thrust,40_999,hV2TwoSub_8,0,0,0.2894154051,0.06378534708,0,0,0,0
