axis,multiplicity_bin,quantity,data,data_err,mc,mc_err,data_over_mc,data_over_mc_err
thrust,0_10,hV2TwoSub_2,0.07735227914,0.003593345093,0.08057601198,0.003391329565,0.9599914074,0.06017736679
thrust,10_15,hV2TwoSub_2,0.08896734391,0.0017748146,0.09224073837,0.001375005387,0.9645124864,0.02401955045
thrust,15_20,hV2TwoSub_2,0.1076943073,0.001046762289,0.1104480547,0.001230478114,0.975067488,0.01441619213
thrust,20_25,hV2TwoSub_2,0.1107206721,0.001280609959,0.1147463226,0.001937103339,0.9649169536,0.01974580303
thrust,25_30,hV2TwoSub_2,0.1070558449,0.00293477956,0.1096161826,0.002831385384,0.9766427037,0.03678574654
thrust,30_35,hV2TwoSub_2,0.09789752837,0.00941930489,0.1049450081,0.008787824268,0.9328459751,0.1189862026
thrust,35_40,hV2TwoSub_2,0.1189669705,0.02509518501,0.07760223461,0.03599423983,1.53303537,0.781148742
thrust,40_999,hV2TwoSub_2,0,0,0,0,0,0
thrust,0_10,hV2TwoSub_4,0.1358730044,0.07935112667,0,0,0,0
thrust,10_15,hV2TwoSub_4,0,0,0,0,0,0
thrust,15_20,hV2TwoSub_4,0,0,0,0,0,0
thrust,20_25,hV2TwoSub_4,0,0,0,0,0,0
thrust,25_30,hV2TwoSub_4,0,0,0,0,0,0
thrust,30_35,hV2TwoSub_4,0,0,0.1696869788,0.06924517628,0,0
thrust,35_40,hV2TwoSub_4,0.2545774457,0.03488174948,0,0,0,0
thrust,40_999,hV2TwoSub_4,0,0,0,0,0,0
thrust,0_10,hV2TwoSub_6,0,0,0,0,0,0
thrust,10_15,hV2TwoSub_6,0,0,0.2096910088,0.05929211719,0,0
thrust,15_20,hV2TwoSub_6,0.2158531435,0.03250853337,0.1726234047,0.07814865089,1.250428028,0.5965862644
thrust,20_25,hV2TwoSub_6,0,0,0.204636118,0.05121751292,0,0
thrust,25_30,hV2TwoSub_6,0,0,0.2308793676,0.04220392773,0,0
thrust,30_35,hV2TwoSub_6,0,0,0,0,0,0
thrust,35_40,hV2TwoSub_6,0,0,0,0,0,0
thrust,40_999,hV2TwoSub_6,0,0,0,0,0,0
thrust,0_10,hV2TwoSub_8,0.3903658952,0.0202909475,0,0,0,0
thrust,10_15,hV2TwoSub_8,0,0,0.2853091281,0.04253838758,0,0
thrust,15_20,hV2TwoSub_8,0,0,0,0,0,0
thrust,20_25,hV2TwoSub_8,0.2356448697,0.05054310266,0,0,0,0
thrust,25_30,hV2TwoSub_8,0,0,0,0,0,0
thrust,30_35,hV2TwoSub_8,0,0,0,0,0,0
thrust,35_40,hV2TwoSub_8,0,0,0.3385990949,0.02359812395,0,0
thrust,40_999,hV2TwoSub_8,0,0,0,0,0,0
